clusterindex,Longitude,Latitude,SOG,COG
0,-43.15055,-22.89766667,14.1,270.1
0,-43.15095,-22.89766667,13.7,271.5
0,-43.15133333,-22.89765,13.0,271.3
0,-43.152,-22.89766667,12.2,270.0
0,-43.1524,-22.89766667,11.6,269.7
0,-43.15266667,-22.89766667,11.2,269.6
0,-43.15305,-22.89766667,10.7,268.9
0,-43.15335,-22.89768333,10.5,269.2
0,-43.15358333,-22.89768333,9.8,268.8
0,-43.1539,-22.89768333,9.3,269.0
0,-43.15416667,-22.8977,9.1,269.1
0,-43.1547,-22.8977,8.6,268.9
0,-43.15488333,-22.8977,8.2,269.3
0,-43.15571667,-22.89773333,6.4,268.9
0,-43.15586667,-22.89773333,6.2,270.2
0,-43.15606667,-22.89773333,5.9,270.4
0,-43.15623333,-22.89773333,5.7,270.9
0,-43.1564,-22.89773333,5.4,270.7
0,-43.15655,-22.89773333,5.2,271.4
0,-43.15666667,-22.89773333,5.1,271.6
0,-43.15685,-22.89773333,5.0,271.4
0,-43.15698333,-22.89773333,4.9,270.6
0,-43.15713333,-22.89773333,4.9,269.5
0,-43.15728333,-22.89775,4.9,269.5
0,-43.1574,-22.89775,4.8,269.2
0,-43.15758333,-22.89775,4.9,269.2
0,-43.15771667,-22.89776667,4.8,268.6
0,-43.15786667,-22.89775,4.8,269.1
0,-43.15795,-22.89775,4.8,269.1
0,-43.15801667,-22.89775,4.9,269.1
0,-43.15816667,-22.89776667,4.9,268.9
0,-43.15821667,-22.89776667,4.9,268.9
0,-43.15831667,-22.89776667,4.9,269.2
0,-43.15846667,-22.89776667,4.9,269.4
0,-43.1586,-22.89775,4.9,270.6
0,-43.15868333,-22.89775,4.8,270.7
0,-43.15873333,-22.89775,4.8,270.7
0,-43.15885,-22.89775,4.6,270.0
0,-43.15891667,-22.89775,4.4,268.9
0,-43.159,-22.89775,4.4,268.7
0,-43.16075,-22.89821667,1.0,283.5
0,-43.16081667,-22.8982,1.2,285.2
0,-43.16088333,-22.89818333,1.5,280.5
0,-43.16096667,-22.89816667,1.7,281.5
0,-43.1324,-22.91298333,22.2,286.1
0,-43.13326667,-22.91275,22.2,289.0
0,-43.13368333,-22.91261667,22.2,291.8
0,-43.1339,-22.91253333,22.1,293.3
0,-43.13408333,-22.91245,21.8,296.3
0,-43.13428333,-22.91235,21.8,296.9
0,-43.13466667,-22.91216667,21.9,299.0
0,-43.13486667,-22.91206667,21.9,298.1
0,-43.13506667,-22.91196667,21.7,298.8
0,-43.13525,-22.91186667,21.8,297.8
0,-43.13553333,-22.91173333,21.7,297.4
0,-43.13573333,-22.91163333,21.7,297.9
0,-43.13601667,-22.9115,21.4,297.6
0,-43.1362,-22.91141667,21.3,299.8
0,-43.1364,-22.91131667,21.0,298.3
0,-43.13685,-22.91108333,20.9,298.4
0,-43.13695,-22.91103333,20.7,299.0
0,-43.1373,-22.91085,20.3,300.3
0,-43.13756667,-22.9107,20.1,302.3
0,-43.13765,-22.91065,20.0,302.8
0,-43.13781667,-22.91055,19.8,304.3
0,-43.13798333,-22.91045,19.8,305.5
0,-43.13813333,-22.91033333,19.7,307.7
0,-43.1383,-22.91021667,19.7,309.1
0,-43.13843333,-22.9101,19.5,310.8
0,-43.13858333,-22.90998333,19.3,311.0
0,-43.13873333,-22.90985,19.3,312.0
0,-43.13886667,-22.90973333,19.3,311.5
0,-43.13901667,-22.90961667,19.4,311.2
0,-43.13916667,-22.9095,19.4,310.1
0,-43.13931667,-22.90938333,19.4,309.7
0,-43.13946667,-22.90926667,19.4,309.6
0,-43.13961667,-22.90915,19.4,310.2
0,-43.13976667,-22.90903333,19.2,310.1
