clusterindex,Longitude,Latitude,SOG,COG
0,-43.18613333,-22.88771667,5.9,112.0
0,-43.18591667,-22.88781667,5.5,113.4
0,-43.18571667,-22.88791667,4.6,118.9
0,-43.1856,-22.88801667,2.5,127.9
0,-43.18558333,-22.88806667,1.6,144.0
0,-43.19368333,-22.89195,0.7,19.8
0,-43.19366667,-22.89191667,1.5,37.9
0,-43.19363333,-22.89186667,2.2,38.7
0,-43.1936,-22.89181667,2.8,34.5
0,-43.19355,-22.89175,3.5,33.2
0,-43.19353333,-22.8917,3.9,32.0
0,-43.19348333,-22.89163333,4.1,31.8
0,-43.19345,-22.89155,4.2,27.1
0,-43.19343333,-22.89151667,4.0,23.6
0,-43.19343333,-22.89146667,3.5,14.9
0,-43.19343333,-22.89138333,0.8,12.3
0,-43.1934,-22.89138333,1.0,49.6
0,-43.19338333,-22.89138333,1.3,56.4
0,-43.19333333,-22.89136667,1.9,63.5
0,-43.19331667,-22.89135,2.1,65.3
0,-43.19326667,-22.89133333,2.6,65.4
0,-43.1932,-22.8913,3.0,65.1
0,-43.19313333,-22.89126667,3.5,65.4
0,-43.19306667,-22.89123333,3.8,65.4
0,-43.193,-22.8912,4.1,66.5
0,-43.19293333,-22.89118333,4.2,66.6
0,-43.19283333,-22.89113333,4.7,66.8
0,-43.1928,-22.89113333,4.8,66.9
0,-43.19261667,-22.89105,5.2,64.2
0,-43.1926,-22.89103333,5.2,63.9
0,-43.19253333,-22.891,5.4,62.0
0,-43.19245,-22.89096667,5.5,62.2
0,-43.19235,-22.89091667,5.6,62.6
0,-43.19226667,-22.89088333,5.6,64.9
0,-43.19218333,-22.89085,5.7,66.3
0,-43.1921,-22.89081667,5.8,67.7
0,-43.192,-22.89078333,5.9,68.5
0,-43.1919,-22.89076667,6.0,69.1
0,-43.19183333,-22.89075,6.0,70.8
0,-43.1917,-22.89071667,6.1,73.4
0,-43.19161667,-22.8907,6.1,75.5
0,-43.19148333,-22.89068333,6.2,76.9
0,-43.19138333,-22.89065,6.2,77.6
0,-43.19128333,-22.89063333,6.2,77.8
0,-43.19113333,-22.89061667,6.3,79.5
0,-43.19106667,-22.89061667,6.3,81.3
0,-43.19093333,-22.8906,6.3,82.2
0,-43.19081667,-22.89058333,6.3,83.4
0,-43.19071667,-22.89058333,6.3,85.8
0,-43.19063333,-22.89058333,6.3,86.6
0,-43.19053333,-22.89058333,6.3,87.8
0,-43.19046667,-22.89058333,6.3,88.3
0,-43.19033333,-22.8906,6.4,89.7
0,-43.19023333,-22.8906,6.4,90.6
0,-43.19011667,-22.8906,6.4,91.1
0,-43.18998333,-22.8906,6.5,91.0
0,-43.18991667,-22.8906,6.5,90.9
0,-43.18981667,-22.8906,6.5,90.8
0,-43.18971667,-22.8906,6.5,89.7
0,-43.18955,-22.89061667,6.6,90.9
0,-43.18951667,-22.8906,6.6,90.9
0,-43.18945,-22.8906,6.5,91.1
0,-43.18918333,-22.89061667,6.6,91.0
0,-43.18883333,-22.89061667,6.6,91.4
0,-43.18855,-22.89063333,6.7,90.9
0,-43.18841667,-22.89063333,6.7,90.6
0,-43.18838333,-22.89063333,6.7,90.6
0,-43.18825,-22.89065,6.7,90.6
0,-43.18791667,-22.89065,6.7,91.3
0,-43.18785,-22.89066667,6.7,91.5
0,-43.18781667,-22.89066667,6.7,91.3
0,-43.18775,-22.89065,6.7,90.5
0,-43.18755,-22.89066667,6.6,91.3
0,-43.18745,-22.89066667,6.6,91.6
0,-43.18718333,-22.89066667,6.6,91.4
0,-43.18685,-22.89068333,6.7,91.5
0,-43.18675,-22.89068333,6.6,91.5
0,-43.18671667,-22.89068333,6.6,91.4
0,-43.18655,-22.89068333,6.7,91.9
0,-43.18593333,-22.88811667,0.7,19.9
0,-43.1863,-22.8907,6.7,92.3
0,-43.18623333,-22.8907,6.6,92.1
0,-43.18588333,-22.88811667,0.9,62.2
0,-43.1859,-22.8907,6.7,91.2
0,-43.1858,-22.8907,6.7,91.0
0,-43.18576667,-22.8907,6.7,90.8
0,-43.18578333,-22.888,3.0,38.7
0,-43.1856,-22.8907,6.7,90.3
0,-43.18553333,-22.8907,6.7,89.9
0,-43.18568333,-22.88776667,5.1,23.4
0,-43.18515,-22.89068333,6.7,90.1
0,-43.18555,-22.88755,5.9,30.6
0,-43.1849,-22.89068333,6.8,90.5
0,-43.18476667,-22.8907,6.8,91.1
0,-43.1853,-22.88733333,5.9,45.0
0,-43.1845,-22.8907,6.8,90.1
0,-43.18508333,-22.88718333,5.4,56.7
0,-43.18415,-22.89068333,6.8,88.5
0,-43.184,-22.89068333,6.8,88.5
0,-43.18483333,-22.88711667,5.2,70.0
0,-43.18383333,-22.89066667,6.8,88.1
0,-43.18366667,-22.89066667,6.8,87.9
0,-43.18458333,-22.88708333,5.0,82.2
0,-43.1835,-22.89066667,6.7,87.9
0,-43.1834,-22.89066667,6.7,87.0
0,-43.18431667,-22.88706667,5.0,85.2
0,-43.18321667,-22.89063333,6.7,86.0
0,-43.18308333,-22.89061667,6.7,85.2
0,-43.18408333,-22.88706667,4.9,90.1
0,-43.18275,-22.89056667,6.6,82.9
0,-43.18271667,-22.89056667,6.6,82.9
0,-43.18268333,-22.89055,6.6,82.8
0,-43.1838,-22.88708333,5.2,96.0
0,-43.18245,-22.89051667,6.6,81.5
0,-43.18241667,-22.89051667,6.6,81.1
0,-43.18238333,-22.89051667,6.6,81.0
0,-43.18353333,-22.88715,5.6,102.6
0,-43.18211667,-22.89046667,6.6,81.8
0,-43.18205,-22.89046667,6.6,81.9
0,-43.18326667,-22.88723333,5.9,109.2
0,-43.18193333,-22.89045,6.6,81.5
0,-43.18183333,-22.89045,6.6,82.4
0,-43.18166667,-22.89043333,6.6,83.0
0,-43.1816,-22.89043333,6.6,83.0
0,-43.18295,-22.88736667,6.2,114.3
0,-43.1815,-22.89043333,6.6,83.5
0,-43.18266667,-22.8875,6.3,115.8
0,-43.18116667,-22.89036667,6.7,82.2
0,-43.18108333,-22.89036667,6.9,82.2
0,-43.18098333,-22.89033333,7.0,81.6
0,-43.1824,-22.88758333,6.4,111.5
0,-43.18091667,-22.89033333,7.1,80.9
0,-43.1808,-22.8903,7.2,79.5
0,-43.18068333,-22.89028333,7.3,77.5
0,-43.18206667,-22.88773333,6.4,114.9
0,-43.1805,-22.89023333,7.5,75.6
0,-43.18043333,-22.89021667,7.6,74.7
0,-43.18031667,-22.89018333,7.6,74.7
0,-43.18178333,-22.88788333,6.4,117.1
0,-43.18016667,-22.89015,7.7,74.9
0,-43.18,-22.8901,7.7,75.2
