clusterindex,Longitude,Latitude,SOG,COG
0,-43.14675,-22.88098333,3.4,18.6
0,-43.14705,-22.8797,2.8,66.8
0,-43.1463,-22.87903333,2.5,23.6
0,-43.14613333,-22.8785,2.2,8.8
0,-43.14611667,-22.87841667,2.1,10.3
0,-43.14618333,-22.87711667,2.1,15.5
0,-43.14615,-22.87701667,2.1,21.9
0,-43.1461,-22.87693333,2.2,35.6
0,-43.14593333,-22.8768,2.0,50.5
0,-43.14553333,-22.8766,1.2,73.5
0,-43.14548333,-22.87658333,1.1,78.3
0,-43.14476667,-22.87648333,0.9,50.7
0,-43.1447,-22.87641667,1.0,41.4
0,-43.14465,-22.87635,0.7,32.0
0,-43.14463333,-22.87631667,1.0,32.3
0,-43.1446,-22.87628333,0.9,30.9
0,-43.14456667,-22.87621667,0.8,30.2
0,-43.14703333,-22.878,1.7,4.3
0,-43.14701667,-22.87793333,1.5,20.9
0,-43.14696667,-22.87786667,1.5,34.4
0,-43.14693333,-22.87781667,1.3,37.6
0,-43.14688333,-22.87776667,1.2,50.2
0,-43.14663333,-22.87766667,0.7,56.7
0,-43.14655,-22.8776,0.8,6.1
0,-43.152,-22.83183333,6.3,180.0
0,-43.152,-22.832,6.4,180.1
0,-43.152,-22.83216667,6.4,180.1
0,-43.152,-22.83233333,6.4,179.7
0,-43.152,-22.8325,6.4,179.5
0,-43.152,-22.83266667,6.5,179.4
0,-43.152,-22.83283333,6.5,179.0
0,-43.152,-22.833,6.5,178.5
0,-43.152,-22.83316667,6.5,177.4
0,-43.152,-22.83333333,6.6,176.6
0,-43.152,-22.8335,6.6,176.3
0,-43.152,-22.83366667,6.6,176.3
0,-43.152,-22.83383333,6.7,176.7
0,-43.152,-22.834,6.7,177.2
0,-43.152,-22.83416667,6.7,178.8
0,-43.152,-22.83433333,6.8,179.5
0,-43.152,-22.8345,6.8,181.0
0,-43.152,-22.83466667,6.8,183.0
0,-43.152,-22.83483333,6.8,183.6
0,-43.152,-22.835,6.8,184.6
0,-43.152,-22.83516667,6.8,186.7
0,-43.152,-22.83533333,6.8,186.9
0,-43.152,-22.8355,6.8,188.4
0,-43.15216667,-22.8355,6.8,188.3
0,-43.15216667,-22.83566667,6.8,188.4
0,-43.15216667,-22.83583333,6.8,189.0
0,-43.15216667,-22.836,6.8,188.9
0,-43.15216667,-22.83616667,6.8,189.4
0,-43.15216667,-22.83633333,6.9,189.1
0,-43.15233333,-22.8365,6.9,189.1
0,-43.15233333,-22.83666667,6.9,189.0
0,-43.15233333,-22.83683333,6.9,188.6
0,-43.15233333,-22.837,7.0,188.6
0,-43.15233333,-22.83716667,7.0,189.3
0,-43.15233333,-22.83733333,7.0,188.8
0,-43.1525,-22.8375,7.0,189.2
0,-43.1525,-22.83766667,7.0,188.8
0,-43.1525,-22.83783333,7.0,189.1
0,-43.1525,-22.838,7.0,188.7
0,-43.1525,-22.83816667,7.1,188.5
0,-43.1525,-22.83833333,7.1,188.7
0,-43.1525,-22.8385,7.1,188.8
0,-43.15266667,-22.83866667,7.1,188.9
0,-43.15266667,-22.83883333,7.1,189.1
0,-43.15266667,-22.839,7.2,189.0
0,-43.15266667,-22.83916667,7.2,188.8
0,-43.15266667,-22.83933333,7.2,188.9
0,-43.15283333,-22.8395,7.2,188.9
0,-43.15283333,-22.83983333,7.2,188.9
0,-43.15283333,-22.84,7.2,188.7
0,-43.15283333,-22.84016667,7.2,189.0
0,-43.15283333,-22.84033333,7.2,188.6
0,-43.153,-22.8405,7.3,189.1
0,-43.153,-22.84066667,7.3,188.8
0,-43.153,-22.84083333,7.3,188.8
0,-43.153,-22.841,7.3,188.7
0,-43.153,-22.84116667,7.3,188.3
0,-43.153,-22.84133333,7.3,188.6
0,-43.15316667,-22.8415,7.3,188.5
0,-43.15316667,-22.84166667,7.3,188.8
