clusterindex,Longitude,Latitude,SOG,COG
0,-43.14675,-22.88098333,3.4,18.6
0,-43.14705,-22.8797,2.8,66.8
0,-43.1463,-22.87903333,2.5,23.6
0,-43.14613333,-22.8785,2.2,8.8
0,-43.14611667,-22.87841667,2.1,10.3
0,-43.14618333,-22.87711667,2.1,15.5
0,-43.14615,-22.87701667,2.1,21.9
0,-43.1461,-22.87693333,2.2,35.6
0,-43.14703333,-22.878,1.7,4.3
0,-43.14701667,-22.87793333,1.5,20.9
0,-43.14696667,-22.87786667,1.5,34.4
0,-43.152,-22.832,6.4,180.1
0,-43.152,-22.8325,6.4,179.5
0,-43.152,-22.83283333,6.5,179.0
0,-43.152,-22.83333333,6.6,176.6
0,-43.152,-22.83366667,6.6,176.3
0,-43.152,-22.83416667,6.7,178.8
0,-43.152,-22.83466667,6.8,183.0
0,-43.152,-22.83483333,6.8,183.6
0,-43.152,-22.83516667,6.8,186.7
0,-43.152,-22.8355,6.8,188.4
0,-43.15216667,-22.8355,6.8,188.3
0,-43.15216667,-22.83566667,6.8,188.4
0,-43.15216667,-22.83583333,6.8,189.0
0,-43.15216667,-22.83616667,6.8,189.4
0,-43.15233333,-22.8365,6.9,189.1
0,-43.15233333,-22.83683333,6.9,188.6
0,-43.1525,-22.838,7.1,188.6
0,-43.1525,-22.83816667,7.1,188.5
0,-43.1525,-22.83833333,7.1,188.7
0,-43.1525,-22.8385,7.1,188.8
0,-43.15266667,-22.83866667,7.1,188.9
0,-43.15266667,-22.839,7.2,189.0
0,-43.15266667,-22.83916667,7.2,188.8
0,-43.15283333,-22.8395,7.2,188.9
0,-43.15283333,-22.83983333,7.2,188.9
0,-43.15283333,-22.84,7.2,188.7
0,-43.15283333,-22.84016667,7.2,189.0
0,-43.153,-22.8405,7.3,189.1
0,-43.153,-22.84083333,7.3,188.8
0,-43.153,-22.84116667,7.3,188.3
0,-43.15316667,-22.8415,7.3,188.5
0,-43.15316667,-22.84183333,7.4,188.5
0,-43.15316667,-22.84216667,7.4,189.0
0,-43.15333333,-22.8425,7.4,189.2
0,-43.15333333,-22.843,7.4,188.5
0,-43.15333333,-22.84333333,7.4,188.6
0,-43.15333333,-22.8435,7.4,188.3
0,-43.1535,-22.84383333,7.5,188.6
0,-43.1535,-22.84416667,7.5,189.4
0,-43.15366667,-22.84466667,7.5,188.9
0,-43.15366667,-22.84483333,7.5,188.4
0,-43.15366667,-22.84516667,7.5,188.3
0,-43.15366667,-22.84533333,7.5,188.5
0,-43.15366667,-22.8455,7.5,188.7
0,-43.15383333,-22.8455,7.5,188.9
0,-43.15383333,-22.84566667,7.5,189.0
0,-43.15383333,-22.84583333,7.5,189.3
0,-43.15383333,-22.846,7.5,189.3
0,-43.15383333,-22.84616667,7.5,189.4
0,-43.154,-22.84666667,7.6,189.0
0,-43.154,-22.84683333,7.6,188.5
0,-43.154,-22.84716667,7.6,188.4
0,-43.15416667,-22.84733333,7.6,188.8
0,-43.15416667,-22.84783333,7.6,189.1
0,-43.15433333,-22.84833333,7.6,189.0
0,-43.15433333,-22.84883333,7.6,188.6
0,-43.15433333,-22.84916667,7.7,189.8
0,-43.15433333,-22.84933333,7.7,190.0
0,-43.1545,-22.84933333,7.7,190.4
0,-43.1545,-22.8495,7.7,190.2
0,-43.1545,-22.84983333,7.7,189.4
0,-43.15466667,-22.85016667,7.7,188.3
0,-43.15466667,-22.85033333,7.7,188.0
0,-43.15466667,-22.8505,7.7,188.3
0,-43.15466667,-22.85083333,7.7,188.0
0,-43.15466667,-22.85116667,7.7,186.8
0,-43.15483333,-22.8515,7.7,184.6
0,-43.15483333,-22.85166667,7.6,183.3
0,-43.15483333,-22.85183333,7.6,181.9
0,-43.15483333,-22.852,7.6,179.6
0,-43.15483333,-22.85266667,7.6,178.4
0,-43.15483333,-22.85283333,7.6,177.8
