MMSI,Time,SOG,Longitude,Latitude,COG
502,19900101_051953,0,-43.09396667,-22.825,75.3
518,19900101_052002,0,-43.16935,-22.91846667,360
515,19900101_052231,6.3,-43.152,-22.83183333,180
505,19900101_052328,0.1,-43.11695,-22.8208,107.7
504,19900101_052343,0,-43.1292,-22.83493333,354.7
510,19900101_052348,0.1,-43.13215,-22.8243,341
515,19900101_052349,6.3,-43.152,-22.83183333,179.7
503,19900101_052359,0,-43.09293333,-22.82458333,0
515,19900101_052429,6.4,-43.152,-22.832,180.1
502,19900101_052444,0,-43.09396667,-22.82496667,79.4
518,19900101_052456,0,-43.16935,-22.91848333,270.3
515,19900101_052508,6.4,-43.152,-22.83216667,180.1
504,19900101_052523,0,-43.1292,-22.83493333,348.6
515,19900101_052555,6.4,-43.152,-22.83216667,179.9
510,19900101_052559,0.1,-43.13215,-22.8243,342
515,19900101_052718,6.4,-43.152,-22.83233333,179.7
518,19900101_052919,0,-43.16933333,-22.91848333,281.1
515,19900101_055715,6.4,-43.152,-22.83233333,180.2
504,19900101_070017,0,-43.12921667,-22.83493333,337.4
505,19900101_070039,0,-43.11695,-22.8208,86.7
510,19900101_070048,0.1,-43.13215,-22.8243,341
515,19900101_070112,6.4,-43.152,-22.8325,179.5
503,19900101_070354,0,-43.09293333,-22.82456667,0
515,19900101_070418,6.5,-43.152,-22.83266667,179.4
518,19900101_070454,0,-43.16936667,-22.91845,278.4
515,19900101_071001,6.5,-43.152,-22.83266667,179.3
505,19900101_072353,0,-43.11695,-22.8208,73.2
510,19900101_072413,0.1,-43.13216667,-22.8243,342
515,19900101_072633,6.5,-43.152,-22.83283333,179
515,19900101_073242,6.5,-43.152,-22.833,178.5
518,19900101_073530,0,-43.16936667,-22.91845,289.6
515,19900101_083014,6.5,-43.152,-22.833,177.6
517,19900101_083023,0.8,-43.14696667,-23.03481667,235.8
504,19900101_083133,0,-43.1292,-22.83493333,342.7
505,19900101_083153,0,-43.11695,-22.8208,52.2
510,19900101_083247,0.1,-43.13216667,-22.8243,344
515,19900101_083253,6.5,-43.152,-22.83316667,177.4
503,19900101_083359,0,-43.09293333,-22.82456667,0
515,19900101_083414,6.6,-43.152,-22.83316667,177.2
518,19900101_083434,0,-43.16936667,-22.91845,295.8
515,19900101_083659,6.6,-43.152,-22.83333333,176.6
515,19900101_083746,6.6,-43.152,-22.8335,176.4
515,19900101_083754,6.6,-43.152,-22.8335,176.4
510,19900101_083845,0.1,-43.13216667,-22.8243,344
503,19900101_083948,0,-43.09296667,-22.82456667,0
515,19900101_084024,6.6,-43.152,-22.8335,176.3
518,19900101_084205,0,-43.16936667,-22.91845,299.5
501,19900101_084335,0,-43.1447,-22.83403333,323
515,19900101_085937,6.6,-43.152,-22.83366667,176.3
516,19900101_090112,0,-43.12976667,-22.83015,134.9
504,19900101_090146,0,-43.1292,-22.83495,12.7
510,19900101_090213,0.1,-43.13216667,-22.8243,342
515,19900101_090225,6.7,-43.152,-22.83383333,176.7
515,19900101_090709,6.7,-43.152,-22.83383333,177.1
502,19900101_090747,0,-43.09395,-22.82496667,0
518,19900101_090848,0,-43.16936667,-22.91845,292.6
515,19900101_091053,6.7,-43.152,-22.834,177.2
504,19900101_091339,0.1,-43.1292,-22.83495,26.1
506,19900101_094010,0,-43.19016667,-22.89203333,262.1
515,19900101_094236,6.7,-43.152,-22.834,178
510,19900101_094301,0.1,-43.13218333,-22.8243,342
503,19900101_094324,0,-43.09295,-22.82456667,0
511,19900101_094446,3.4,-43.14675,-22.88098333,18.6
515,19900101_095135,6.7,-43.152,-22.83416667,178.8
502,19900101_100937,0,-43.09395,-22.82496667,128.7
518,19900101_100954,0,-43.16936667,-22.91846667,291.1
515,19900101_101133,6.8,-43.152,-22.83433333,179.5
504,19900101_101310,0,-43.1292,-22.83495,58.8
505,19900101_101314,0,-43.11693333,-22.82078333,6.7
510,19900101_101316,0.1,-43.13218333,-22.82428333,344
515,19900101_101338,6.8,-43.152,-22.83433333,180.1
507,19900101_101400,0.5,-43.14495,-22.82355,182.3
503,19900101_101433,0,-43.09293333,-22.82456667,0
515,19900101_101434,6.8,-43.152,-22.8345,181
518,19900101_101521,0,-43.16936667,-22.91848333,276.6
515,19900101_101538,6.8,-43.152,-22.8345,181.8
505,19900101_101604,0,-43.11695,-22.82078333,359.4
504,19900101_101615,0,-43.1292,-22.83496667,83
510,19900101_101632,0.1,-43.13218333,-22.82428333,340
515,19900101_101637,6.8,-43.152,-22.83466667,183
515,19900101_101706,6.8,-43.152,-22.83483333,183.6
518,19900101_101746,0,-43.16936667,-22.91848333,285.1
502,19900101_101803,0,-43.09396667,-22.82498333,185.4
515,19900101_101851,6.8,-43.152,-22.835,184.6
504,19900101_101928,0,-43.1292,-22.83495,102.7
505,19900101_101934,0,-43.11693333,-22.8208,353.2
510,19900101_102004,0.1,-43.1322,-22.82428333,337
515,19900101_102006,6.8,-43.152,-22.835,186
512,19900101_102033,0.1,-43.1644,-22.86011667,268.5
513,19900101_102034,0,-43.12785,-22.86555,72.9
515,19900101_102057,6.8,-43.152,-22.83516667,186.7
502,19900101_102104,0,-43.09396667,-22.82498333,0
518,19900101_102108,0,-43.16936667,-22.91848333,273.6
515,19900101_102156,6.8,-43.152,-22.83533333,186.9
515,19900101_103542,6.8,-43.152,-22.83533333,187.7
510,19900101_103632,0.1,-43.1322,-22.82428333,340
515,19900101_103657,6.8,-43.152,-22.8355,188.4
518,19900101_103833,0,-43.16935,-22.91848333,280.6
502,19900101_111658,0,-43.09396667,-22.82498333,208.9
515,19900101_111917,6.8,-43.15216667,-22.8355,188.3
504,19900101_112336,0,-43.1292,-22.83495,117.9
510,19900101_112439,0.1,-43.1322,-22.82428333,345
515,19900101_121137,6.8,-43.15216667,-22.83566667,188.4
502,19900101_121435,0,-43.09396667,-22.825,0
518,19900101_121532,0,-43.16936667,-22.91845,278.6
515,19900101_121651,6.8,-43.15216667,-22.83583333,189
505,19900101_135258,0,-43.11695,-22.82078333,310.7
504,19900101_135414,0,-43.12921667,-22.83493333,124
510,19900101_135431,0.1,-43.1322,-22.82428333,347
515,19900101_163920,6.8,-43.15216667,-22.836,188.9
503,19900101_164208,0,-43.09295,-22.82458333,0
511,19900101_164309,4.3,-43.14676667,-22.87993333,344.1
515,19900101_164354,6.8,-43.15216667,-22.836,189.3
518,19900101_164525,0,-43.16936667,-22.91843333,276.4
515,19900101_182846,6.8,-43.15216667,-22.83616667,189.4
505,19900101_191500,0.1,-43.11695,-22.82078333,299.1
510,19900101_191512,0.1,-43.1322,-22.82426667,349
515,19900101_191548,6.9,-43.15216667,-22.83633333,189.1
503,19900101_191633,0,-43.09295,-22.82458333,0
515,19900101_191648,6.9,-43.15216667,-22.83633333,189.1
502,19900101_191650,0,-43.09396667,-22.82498333,0
518,19900101_191750,0,-43.16936667,-22.91843333,360
515,19900101_191822,6.9,-43.15233333,-22.8365,189.1
505,19900101_191923,0,-43.11695,-22.82078333,288.2
504,19900101_192012,0,-43.1292,-22.83495,118.4
510,19900101_192018,0.1,-43.1322,-22.82426667,354
515,19900101_192032,6.9,-43.15233333,-22.83666667,189
515,19900101_195549,6.9,-43.15233333,-22.83666667,188.6
518,19900101_195632,0,-43.16936667,-22.91843333,255.1
515,19900101_195756,6.9,-43.15233333,-22.83683333,188.6
504,19900101_195837,0.1,-43.12918333,-22.83495,107.2
505,19900101_195856,0.1,-43.11696667,-22.82078333,282.4
510,19900101_195913,0.1,-43.1322,-22.82426667,357
515,19900101_195917,7,-43.15233333,-22.837,188.6
503,19900101_195957,0,-43.09295,-22.82458333,0
515,19900101_200013,7,-43.15233333,-22.83716667,189.3
518,19900101_200017,0,-43.16936667,-22.91845,244.3
515,19900101_200136,7,-43.15233333,-22.83716667,188.8
515,19900101_200204,7,-43.15233333,-22.83733333,188.8
510,19900101_200214,0.1,-43.13218333,-22.82425,354
515,19900101_200228,7,-43.15233333,-22.83733333,189.2
518,19900101_200307,0,-43.16936667,-22.91846667,360
515,19900101_200409,7,-43.1525,-22.8375,189.2
510,19900101_200456,0.1,-43.13218333,-22.82425,353
515,19900101_200508,7,-43.1525,-22.8375,189
515,19900101_200626,7,-43.1525,-22.83766667,188.8
518,19900101_200757,0,-43.16935,-22.91846667,247
515,19900101_204924,7,-43.1525,-22.83783333,189.1
505,19900101_205418,0,-43.11698333,-22.8208,259.2
504,19900101_205618,0,-43.1292,-22.83495,0
510,19900101_205636,0,-43.13218333,-22.82425,351
515,19900101_205640,7,-43.1525,-22.838,188.7
515,19900101_205804,7.1,-43.1525,-22.838,188.6
502,19900101_205857,0,-43.09396667,-22.825,234.4
515,19900101_205940,7.1,-43.1525,-22.83816667,188.5
504,19900101_210151,0,-43.1292,-22.83495,100.6
505,19900101_210220,0.1,-43.11698333,-22.8208,254.4
510,19900101_210224,0,-43.13218333,-22.82423333,354
515,19900101_210333,7.1,-43.1525,-22.83833333,188.7
511,19900101_213733,5,-43.1476,-22.87858333,320.3
518,19900101_213847,0,-43.16936667,-22.91846667,234.4
515,19900101_213913,7.1,-43.1525,-22.8385,188.8
505,19900101_213936,0,-43.11698333,-22.8208,250.1
504,19900101_214004,0,-43.1292,-22.83495,100.8
510,19900101_214019,0,-43.13218333,-22.82423333,355
515,19900101_214101,7.1,-43.15266667,-22.83866667,188.9
502,19900101_214253,0,-43.09398333,-22.825,0
518,19900101_214329,0,-43.16936667,-22.91845,237.5
515,19900101_214517,7.1,-43.15266667,-22.83883333,189.1
517,19900101_214535,0.5,-43.14693333,-23.03476667,51.3
505,19900101_214649,0,-43.11698333,-22.8208,243.1
510,19900101_221758,0,-43.13218333,-22.82423333,355
515,19900101_221829,7.1,-43.15266667,-22.83883333,189.1
511,19900101_222325,5.1,-43.14791667,-22.87825,315.4
515,19900101_223647,7.2,-43.15266667,-22.839,189
502,19900101_223726,0,-43.09396667,-22.825,0
518,19900102_032257,0,-43.16938333,-22.91845,251.9
515,19900102_050548,7.2,-43.15266667,-22.83916667,188.8
504,19900102_062829,0,-43.12918333,-22.83495,116.5
515,19900102_063323,7.2,-43.15266667,-22.83933333,188.9
510,19900102_063352,0,-43.13218333,-22.82423333,352
515,19900102_063611,7.2,-43.15266667,-22.83933333,188.9
518,19900102_063950,0.1,-43.16938333,-22.91845,248.8
501,19900102_064001,0,-43.14465,-22.83406667,323
502,19900102_064024,0,-43.09396667,-22.82498333,0
515,19900102_064201,7.2,-43.15283333,-22.8395,188.9
504,19900102_064234,0,-43.12918333,-22.83493333,117.3
510,19900102_064308,0,-43.13218333,-22.82423333,345
502,19900102_064713,0,-43.09396667,-22.825,243.7
518,19900102_080253,0,-43.16938333,-22.91846667,237.6
515,19900102_080555,7.2,-43.15283333,-22.83983333,188.9
