MMSI,Time,SOG,Longitude,Latitude,COG
515,19900101_052231,6.3,-43.152,-22.83183333,180
515,19900101_052349,6.3,-43.152,-22.83183333,179.7
515,19900101_052429,6.4,-43.152,-22.832,180.1
515,19900101_052508,6.4,-43.152,-22.83216667,180.1
515,19900101_052555,6.4,-43.152,-22.83216667,179.9
515,19900101_052718,6.4,-43.152,-22.83233333,179.7
515,19900101_055715,6.4,-43.152,-22.83233333,180.2
515,19900101_070112,6.4,-43.152,-22.8325,179.5
515,19900101_070418,6.5,-43.152,-22.83266667,179.4
515,19900101_071001,6.5,-43.152,-22.83266667,179.3
515,19900101_072633,6.5,-43.152,-22.83283333,179
515,19900101_073242,6.5,-43.152,-22.833,178.5
515,19900101_083014,6.5,-43.152,-22.833,177.6
515,19900101_083253,6.5,-43.152,-22.83316667,177.4
515,19900101_083414,6.6,-43.152,-22.83316667,177.2
515,19900101_083659,6.6,-43.152,-22.83333333,176.6
515,19900101_083746,6.6,-43.152,-22.8335,176.4
515,19900101_083754,6.6,-43.152,-22.8335,176.4
515,19900101_084024,6.6,-43.152,-22.8335,176.3
515,19900101_085937,6.6,-43.152,-22.83366667,176.3
515,19900101_090225,6.7,-43.152,-22.83383333,176.7
515,19900101_090709,6.7,-43.152,-22.83383333,177.1
515,19900101_091053,6.7,-43.152,-22.834,177.2
515,19900101_094236,6.7,-43.152,-22.834,178
511,19900101_094446,3.4,-43.14675,-22.88098333,18.6
515,19900101_095135,6.7,-43.152,-22.83416667,178.8
515,19900101_101133,6.8,-43.152,-22.83433333,179.5
515,19900101_101338,6.8,-43.152,-22.83433333,180.1
515,19900101_101434,6.8,-43.152,-22.8345,181
515,19900101_101538,6.8,-43.152,-22.8345,181.8
515,19900101_101637,6.8,-43.152,-22.83466667,183
515,19900101_101706,6.8,-43.152,-22.83483333,183.6
515,19900101_101851,6.8,-43.152,-22.835,184.6
515,19900101_102006,6.8,-43.152,-22.835,186
515,19900101_102057,6.8,-43.152,-22.83516667,186.7
515,19900101_102156,6.8,-43.152,-22.83533333,186.9
515,19900101_103542,6.8,-43.152,-22.83533333,187.7
515,19900101_103657,6.8,-43.152,-22.8355,188.4
515,19900101_111917,6.8,-43.15216667,-22.8355,188.3
515,19900101_121137,6.8,-43.15216667,-22.83566667,188.4
515,19900101_121651,6.8,-43.15216667,-22.83583333,189
515,19900101_163920,6.8,-43.15216667,-22.836,188.9
511,19900101_164309,4.3,-43.14676667,-22.87993333,344.1
515,19900101_164354,6.8,-43.15216667,-22.836,189.3
515,19900101_182846,6.8,-43.15216667,-22.83616667,189.4
515,19900101_191548,6.9,-43.15216667,-22.83633333,189.1
515,19900101_191648,6.9,-43.15216667,-22.83633333,189.1
515,19900101_191822,6.9,-43.15233333,-22.8365,189.1
515,19900101_192032,6.9,-43.15233333,-22.83666667,189
515,19900101_195549,6.9,-43.15233333,-22.83666667,188.6
515,19900101_195756,6.9,-43.15233333,-22.83683333,188.6
515,19900101_205804,7.1,-43.1525,-22.838,188.6
515,19900101_205940,7.1,-43.1525,-22.83816667,188.5
515,19900101_210333,7.1,-43.1525,-22.83833333,188.7
515,19900101_213913,7.1,-43.1525,-22.8385,188.8
515,19900101_214101,7.1,-43.15266667,-22.83866667,188.9
515,19900101_214517,7.1,-43.15266667,-22.83883333,189.1
515,19900101_221829,7.1,-43.15266667,-22.83883333,189.1
511,19900101_222325,5.1,-43.14791667,-22.87825,315.4
515,19900101_223647,7.2,-43.15266667,-22.839,189
515,19900102_050548,7.2,-43.15266667,-22.83916667,188.8
515,19900102_063323,7.2,-43.15266667,-22.83933333,188.9
515,19900102_063611,7.2,-43.15266667,-22.83933333,188.9
515,19900102_064201,7.2,-43.15283333,-22.8395,188.9
515,19900102_080555,7.2,-43.15283333,-22.83983333,188.9
511,19900102_081024,5.2,-43.1485,-22.87773333,311.7
515,19900102_081111,7.2,-43.15283333,-22.84,188.7
515,19900102_081212,7.2,-43.15283333,-22.84016667,189
515,19900102_081338,7.2,-43.15283333,-22.84033333,188.6
515,19900102_081648,7.2,-43.15283333,-22.84033333,188.8
515,19900102_094553,7.3,-43.153,-22.8405,189.1
515,19900102_094807,7.3,-43.153,-22.84066667,189.1
515,19900102_094809,7.3,-43.153,-22.84066667,188.9
511,19900102_094810,5.1,-43.14886667,-22.87748333,303.6
