clusterindex,Longitude,Latitude,SOG,COG,MedianDistance
0,-43.1589813232422,-22.9754505157471,14.0,0.6,0.0
1,-43.1288223266602,-22.9671077728271,6.5,225.4,0.0
2,-43.138313293457,-22.8441867828369,3.2,215.0,0.0
3,-43.153678894043,-22.8601722717285,7.0,192.6,0.0
4,-43.1547431945801,-22.8711128234863,10.4,179.6,0.0
5,-43.1580696105957,-22.9766082763672,13.5,322.6,0.0
6,-43.1506881713867,-22.8873653411865,3.0,202.6,0.0
7,-43.1308135986328,-22.9568729400635,4.4,179.4,0.0
8,-43.1492195129395,-22.8582649230957,6.0,23.1,0.0
9,-43.1463737487793,-22.8491821289062,1.6,217.5,0.0
