clusterindex,Longitude,Latitude,SOG,COG
0,-43.16243333,-22.89253333,0.5,66.8
0,-43.16238333,-22.89251667,0.3,79.5
0,-43.16236667,-22.89251667,0.2,93.3
0,-43.1623,-22.89251667,0.3,85.8
0,-43.16225,-22.89253333,0.4,84.0
0,-43.16218333,-22.89253333,0.5,78.2
0,-43.16195,-22.89246667,0.5,67.5
0,-43.16188333,-22.89243333,0.5,64.3
0,-43.16171667,-22.89238333,0.3,76.8
0,-43.1617,-22.89238333,0.2,87.4
0,-43.16153333,-22.89191667,0.4,354.3
0,-43.16155,-22.8919,0.2,324.6
0,-43.16151667,-22.89188333,0.3,338.1
0,-43.16136667,-22.89176667,0.4,47.4
0,-43.16133333,-22.89175,0.5,45.9
1,-43.16113333,-22.85933333,0.2,310.1
1,-43.16113333,-22.85933333,0.2,311.6
1,-43.16116667,-22.85933333,0.2,312.6
1,-43.16115,-22.85933333,0.1,313.3
1,-43.16116667,-22.85931667,0.2,313.1
1,-43.16116667,-22.85931667,0.2,313.8
1,-43.16118333,-22.8593,0.1,313.2
1,-43.16118333,-22.8593,0.1,313.2
1,-43.16116667,-22.8593,0.2,341.9
1,-43.16115,-22.85928333,0.4,15.7
1,-43.16111667,-22.85928333,0.5,49.1
1,-43.1611,-22.85926667,0.5,56.5
1,-43.1611,-22.85926667,0.5,56.5
2,-43.12151667,-22.87786667,0.0,317.6
2,-43.12201667,-22.87761667,0.0,203.8
2,-43.12133333,-22.87835,0.0,258.5
2,-43.12153333,-22.87786667,0.0,198.0
2,-43.12201667,-22.87771667,0.0,256.8
2,-43.122,-22.87761667,0.0,203.8
2,-43.12151667,-22.87786667,0.0,317.6
2,-43.12133333,-22.87835,0.0,249.3
2,-43.12153333,-22.87786667,0.0,198.0
2,-43.12201667,-22.87771667,0.0,255.0
2,-43.122,-22.87761667,0.0,203.8
2,-43.12153333,-22.87788333,0.0,317.6
2,-43.12133333,-22.87835,0.0,249.3
2,-43.12156667,-22.87786667,0.0,198.0
2,-43.122,-22.87771667,0.0,254.3
2,-43.122,-22.87761667,0.0,203.8
2,-43.12155,-22.87788333,0.0,317.6
2,-43.12133333,-22.87835,0.0,253.6
2,-43.12158333,-22.87788333,0.0,198.0
2,-43.122,-22.87771667,0.0,253.0
2,-43.122,-22.87763333,0.0,203.8
2,-43.12153333,-22.87786667,0.0,317.6
2,-43.12131667,-22.87835,0.0,258.9
2,-43.12158333,-22.87788333,0.0,198.0
2,-43.122,-22.87771667,0.0,251.5
2,-43.122,-22.87763333,0.0,203.8
2,-43.12153333,-22.87786667,0.0,317.6
2,-43.12131667,-22.87835,0.0,254.1
2,-43.12158333,-22.8779,0.0,198.0
2,-43.122,-22.87771667,0.0,254.7
2,-43.12153333,-22.87786667,0.0,317.6
2,-43.12201667,-22.87763333,0.0,203.8
2,-43.1216,-22.8779,0.0,198.0
2,-43.12131667,-22.87835,0.0,254.2
2,-43.122,-22.87771667,0.0,255.8
2,-43.12201667,-22.87761667,0.0,203.8
2,-43.12153333,-22.87785,0.0,317.6
2,-43.12131667,-22.87835,0.0,254.2
2,-43.1216,-22.8779,0.0,198.0
2,-43.122,-22.87771667,0.0,255.6
2,-43.12201667,-22.87761667,0.0,203.8
2,-43.12153333,-22.87786667,0.0,317.6
2,-43.12131667,-22.87835,0.0,256.6
2,-43.1216,-22.87788333,0.0,198.0
2,-43.122,-22.8777,0.0,253.9
2,-43.12203333,-22.87761667,0.0,203.8
2,-43.12155,-22.87785,0.0,317.6
2,-43.12131667,-22.87835,0.0,258.5
2,-43.12161667,-22.87788333,0.0,198.0
2,-43.122,-22.8777,0.1,253.4
2,-43.12203333,-22.87761667,0.0,203.8
2,-43.12155,-22.87786667,0.0,317.6
2,-43.12133333,-22.87835,0.0,256.9
2,-43.12161667,-22.87788333,0.0,198.0
2,-43.122,-22.8777,0.0,253.3
2,-43.12203333,-22.87761667,0.0,203.8
2,-43.12155,-22.87786667,0.0,317.6
2,-43.12133333,-22.87835,0.0,256.9
2,-43.12161667,-22.87788333,0.0,198.0
2,-43.122,-22.8777,0.0,253.6
2,-43.12153333,-22.87786667,0.0,317.6
2,-43.12201667,-22.8776,0.0,203.8
2,-43.1216,-22.87788333,0.0,198.0
2,-43.12133333,-22.87835,0.0,258.1
2,-43.122,-22.8777,0.0,252.4
2,-43.12201667,-22.87758333,0.0,203.8
2,-43.12153333,-22.87788333,0.0,317.6
2,-43.12133333,-22.87835,0.0,258.1
2,-43.12158333,-22.87788333,0.0,198.0
2,-43.122,-22.8777,0.1,252.0
2,-43.12201667,-22.87758333,0.0,203.8
2,-43.12155,-22.87786667,0.0,317.6
2,-43.12133333,-22.87835,0.0,258.8
2,-43.12156667,-22.8779,0.0,198.0
2,-43.122,-22.8777,0.0,252.4
2,-43.12201667,-22.87758333,0.0,203.8
2,-43.12153333,-22.87786667,0.0,317.6
2,-43.12133333,-22.87835,0.0,261.6
2,-43.12156667,-22.8779,0.0,198.0
2,-43.12201667,-22.8777,0.0,252.9
2,-43.12203333,-22.87758333,0.0,203.8
2,-43.12155,-22.87786667,0.1,317.6
