clusterindex,Longitude,Latitude,SOG,COG
0,-43.00546667,-23.0421,9.1,92.5
0,-43.00356667,-23.0422,9.5,91.6
0,-43.00216667,-23.04228333,9.6,92.2
0,-43.00071667,-23.04235,9.4,94.1
0,-43.0996,-23.03073333,11.1,102.5
0,-43.09908333,-23.03088333,11.1,105.6
0,-43.09846667,-23.03105,11.2,106.2
0,-43.09791667,-23.03116667,11.3,105.3
0,-43.09743333,-23.03131667,11.3,106.7
0,-43.09635,-23.03161667,11.2,107.7
0,-43.09581667,-23.03178333,11.4,107.0
0,-43.09521667,-23.03198333,11.4,108.5
0,-43.09473333,-23.03215,11.4,109.2
0,-43.09418333,-23.03231667,11.6,109.9
0,-43.09358333,-23.03251667,11.5,111.1
0,-43.0931,-23.03266667,11.5,108.6
0,-43.09253333,-23.03283333,11.6,108.8
0,-43.09193333,-23.03305,11.6,110.2
0,-43.09138333,-23.03323333,11.7,111.3
0,-43.09086667,-23.03335,11.6,106.7
0,-43.09026667,-23.03355,11.7,106.0
0,-43.08971667,-23.03373333,11.7,107.5
0,-43.0892,-23.03388333,11.7,106.2
0,-43.08856667,-23.03405,11.7,104.9
0,-43.08806667,-23.0342,11.7,107.9
0,-43.08688333,-23.03455,11.8,105.5
0,-43.08633333,-23.03471667,11.9,106.2
0,-43.08518333,-23.03501667,12.0,106.8
0,-43.08461667,-23.03516667,12.0,104.4
0,-43.08411667,-23.03533333,11.8,110.4
0,-43.08348333,-23.03553333,11.8,112.4
0,-43.08291667,-23.03571667,11.9,111.6
0,-43.08241667,-23.0359,11.9,110.7
0,-43.0818,-23.03611667,12.0,111.4
0,-43.08123333,-23.03631667,12.0,111.2
0,-43.08075,-23.0365,12.0,109.8
0,-43.08015,-23.03673333,12.0,111.1
0,-43.0796,-23.03693333,12.0,114.5
0,-43.07901667,-23.03715,12.0,112.8
0,-43.0779,-23.03766667,11.9,115.6
0,-43.07736667,-23.0379,11.9,116.3
0,-43.07685,-23.03813333,11.8,117.9
0,-43.07633333,-23.0384,11.8,118.7
0,-43.07581667,-23.03865,11.8,119.6
0,-43.07476667,-23.03918333,11.8,117.7
0,-43.09993333,-23.03001667,5.1,164.3
0,-43.09988333,-23.03025,5.4,164.7
0,-43.07198333,-23.04016667,11.9,106.8
0,-43.09973333,-23.03075,5.0,167.0
0,-43.07141667,-23.04033333,11.9,108.9
0,-43.07083333,-23.04046667,12.0,105.7
0,-43.0996,-23.03121667,5.3,164.8
0,-43.07023333,-23.0406,12.1,102.8
0,-43.09953333,-23.03146667,5.5,168.2
0,-43.0697,-23.0407,12.0,102.8
0,-43.06906667,-23.0408,11.9,100.9
0,-43.06846667,-23.0409,12.0,99.8
0,-43.09928333,-23.0322,5.3,161.0
0,-43.06786667,-23.04101667,12.1,99.6
0,-43.06726667,-23.04113333,12.0,99.5
0,-43.06666667,-23.04126667,12.0,103.9
0,-43.06613333,-23.04136667,12.1,101.3
0,-43.06548333,-23.04148333,12.1,100.7
0,-43.06491667,-23.04165,12.0,101.9
0,-43.06433333,-23.04178333,12.0,106.4
0,-43.06373333,-23.04193333,12.0,108.0
0,-43.06315,-23.04206667,12.1,106.1
0,-43.062,-23.04238333,12.0,104.0
0,-43.06143333,-23.04256667,12.0,106.7
0,-43.06085,-23.04271667,12.0,108.1
0,-43.09845,-23.03526667,5.0,170.4
0,-43.06026667,-23.04288333,12.0,108.0
0,-43.09841667,-23.0355,5.1,171.8
0,-43.05975,-23.04303333,11.9,109.2
0,-43.05916667,-23.0432,11.9,108.2
0,-43.09838333,-23.03596667,5.2,175.4
0,-43.05855,-23.0434,11.8,110.2
0,-43.05798333,-23.04356667,11.9,107.8
0,-43.09835,-23.0364,4.9,176.3
0,-43.05743333,-23.04376667,11.8,110.1
0,-43.09831667,-23.03663333,4.6,174.5
0,-43.05686667,-23.04395,11.9,109.0
0,-43.0983,-23.03686667,5.0,175.2
0,-43.05635,-23.04411667,12.1,105.4
0,-43.09828333,-23.0371,4.9,175.3
0,-43.05581667,-23.04435,11.7,115.7
0,-43.09825,-23.03733333,5.2,175.1
0,-43.05521667,-23.0446,11.7,114.7
0,-43.09821667,-23.03758333,5.4,173.0
0,-43.09818333,-23.03783333,5.3,170.4
0,-43.09816667,-23.03808333,5.5,174.7
0,-43.09813333,-23.03833333,5.5,174.7
0,-43.05316667,-23.0455,11.6,115.6
0,-43.0981,-23.0386,5.7,173.0
0,-43.05263333,-23.04571667,11.8,111.6
0,-43.09808333,-23.03886667,5.6,173.3
0,-43.05206667,-23.04598333,11.8,113.6
0,-43.05155,-23.04623333,11.7,117.2
0,-43.09805,-23.0394,5.7,176.3
0,-43.05101667,-23.04645,11.7,116.8
0,-43.09801667,-23.03966667,5.7,174.4
0,-43.0505,-23.0467,11.7,116.8
0,-43.098,-23.03993333,5.8,176.5
0,-43.09796667,-23.0402,5.7,172.7
0,-43.04896667,-23.04736667,11.7,114.1
0,-43.09795,-23.04046667,5.7,173.8
0,-43.09793333,-23.04071667,5.5,175.4
0,-43.0979,-23.04098333,5.7,174.3
0,-43.04785,-23.04788333,11.7,115.2
0,-43.09788333,-23.04125,5.6,176.1
0,-43.04736667,-23.04806667,11.7,113.7
0,-43.04681667,-23.04828333,11.7,113.5
0,-43.09783333,-23.04173333,5.2,172.8
0,-43.04628333,-23.0485,11.7,114.7
0,-43.09778333,-23.04216667,5.0,173.6
0,-43.04456667,-23.04913333,11.8,108.2
0,-43.09773333,-23.04265,5.0,176.2
0,-43.09771667,-23.04288333,5.1,179.5
0,-43.043,-23.04978333,11.6,114.1
0,-43.04248333,-23.05,11.6,116.1
0,-43.09751667,-23.04826667,5.5,176.0
0,-43.0419,-23.05025,11.5,117.7
0,-43.04143333,-23.05046667,11.5,116.0
0,-43.09751667,-23.04853333,5.7,179.7
0,-43.0975,-23.04875,5.2,177.6
0,-43.0975,-23.04896667,5.1,177.8
0,-43.04043333,-23.051,11.4,120.2
0,-43.03988333,-23.0513,11.4,119.7
0,-43.09751667,-23.04488333,5.5,177.5
0,-43.03943333,-23.05153333,11.6,120.0
0,-43.03888333,-23.05183333,11.5,120.0
0,-43.09753333,-23.04988333,4.9,182.4
0,-43.09753333,-23.04541667,5.6,181.3
0,-43.09755,-23.04566667,5.4,182.9
0,-43.09751667,-23.05031667,4.8,177.0
0,-43.03741667,-23.05261667,11.6,120.1
0,-43.03685,-23.0529,11.6,120.2
0,-43.09751667,-23.05078333,5.1,182.0
0,-43.09755,-23.04641667,5.7,177.9
0,-43.0975,-23.05098333,4.1,175.4
0,-43.09756667,-23.04671667,5.6,183.7
0,-43.09743333,-23.05158333,4.4,175.9
0,-43.09753333,-23.04746667,5.7,176.5
0,-43.09751667,-23.04798333,5.6,178.2
0,-43.09686667,-23.02586667,10.6,2.6
0,-43.10116667,-23.03035,11.1,103.2
0,-43.1007,-23.03048333,11.0,108.6
0,-43.1001,-23.03063333,11.1,107.9
0,-43.10086667,-23.02686667,5.8,166.0
0,-43.10073333,-23.0273,5.1,166.9
0,-43.10063333,-23.02756667,5.1,165.4
0,-43.10043333,-23.0283,5.5,167.1
0,-43.10028333,-23.02878333,5.7,162.6
0,-43.10016667,-23.02931667,5.3,170.7
0,-43.1001,-23.02955,5.4,169.2
0,-43.10271667,-23.02988333,10.9,104.2
0,-43.10225,-23.03003333,10.9,108.9
0,-43.1017,-23.03021667,11.0,106.0
0,-43.10183333,-23.02368333,4.9,164.8
0,-43.10175,-23.02393333,5.2,162.2
0,-43.10166667,-23.02413333,5.1,163.0
0,-43.10158333,-23.02438333,5.2,160.4
0,-43.1015,-23.02461667,5.3,161.1
0,-43.10133333,-23.02511667,5.6,162.6
0,-43.10128333,-23.02536667,5.3,164.7
0,-43.10121667,-23.0256,5.6,163.5
0,-43.10101667,-23.0264,5.5,165.7
0,-43.10095,-23.02663333,5.7,167.3
0,-43.16436667,-22.90026667,6.3,246.9
0,-43.15316667,-22.81498333,9.4,318.0
0,-43.14035,-22.89391667,10.9,265.0
0,-43.16466667,-22.90038333,6.0,249.2
0,-43.15351667,-22.81461667,9.4,319.8
0,-43.14088333,-22.89398333,10.6,260.2
0,-43.16491667,-22.90046667,5.7,248.1
0,-43.15383333,-22.8143,9.3,319.4
0,-43.14135,-22.89406667,10.5,255.8
0,-43.15413333,-22.81396667,9.4,319.7
0,-43.16523333,-22.90056667,5.7,251.3
0,-43.14181667,-22.89416667,10.6,258.2
0,-43.16545,-22.90063333,5.7,251.9
0,-43.15448333,-22.8136,9.4,316.8
0,-43.14246667,-22.89428333,10.9,258.1
0,-43.16578333,-22.90073333,5.7,250.3
0,-43.1548,-22.81328333,9.4,315.6
0,-43.14303333,-22.89438333,10.7,259.3
0,-43.1621,-22.89723333,5.4,235.7
0,-43.16603333,-22.90081667,5.7,250.6
0,-43.15506667,-22.81301667,9.6,320.2
0,-43.14351667,-22.89446667,10.7,262.3
0,-43.1623,-22.89736667,5.8,229.6
0,-43.1663,-22.9009,5.9,250.8
0,-43.15541667,-22.81265,9.5,316.5
0,-43.14411667,-22.89453333,10.9,261.9
0,-43.16656667,-22.90098333,5.9,249.9
0,-43.15573333,-22.81233333,9.6,315.8
0,-43.14455,-22.89461667,10.8,258.6
0,-43.15608333,-22.81203333,9.5,312.5
0,-43.16688333,-22.90111667,5.9,249.3
0,-43.14506667,-22.8947,10.7,257.7
0,-43.16711667,-22.9012,5.8,248.8
0,-43.15648333,-22.8117,9.6,310.6
0,-43.14565,-22.8948,10.7,263.3
0,-43.16743333,-22.90131667,5.8,249.4
0,-43.15681667,-22.81143333,9.5,309.5
0,-43.14625,-22.89488333,10.8,261.8
0,-43.16771667,-22.90138333,5.7,249.0
0,-43.15715,-22.81118333,9.5,308.3
0,-43.168,-22.90146667,5.7,248.4
0,-43.15756667,-22.8109,9.5,305.4
0,-43.1473,-22.89508333,10.6,257.8
0,-43.14676667,-22.87993333,4.3,344.1
0,-43.15796667,-22.81063333,9.5,306.9
0,-43.1477,-22.89518333,10.6,255.1
0,-43.1685,-22.9017,5.8,246.3
0,-43.15835,-22.81036667,9.6,306.3
0,-43.14823333,-22.89528333,10.6,256.4
0,-43.16871667,-22.9018,5.7,246.4
0,-43.1488,-22.89543333,10.6,256.8
0,-43.169,-22.90193333,5.1,247.1
0,-43.15913333,-22.80983333,9.5,304.5
0,-43.14936667,-22.89555,10.4,258.8
0,-43.1692,-22.902,4.7,245.6
0,-43.15948333,-22.80961667,9.6,304.9
0,-43.16941667,-22.9021,4.1,246.2
0,-43.15993333,-22.80933333,9.6,300.4
0,-43.15036667,-22.89573333,10.2,255.0
0,-43.16958333,-22.90216667,4.0,247.4
0,-43.16035,-22.80913333,9.4,295.7
0,-43.15078333,-22.89583333,10.3,257.9
0,-43.1476,-22.87858333,5.0,320.3
0,-43.1698,-22.90223333,4.1,246.5
0,-43.16078333,-22.80895,9.4,295.1
0,-43.15128333,-22.89593333,10.3,258.3
0,-43.16996667,-22.9023,4.2,249.6
0,-43.16125,-22.80873333,9.4,293.6
0,-43.15183333,-22.89605,10.3,256.6
0,-43.14791667,-22.87825,5.1,315.4
0,-43.1702,-22.90238333,3.6,248.5
0,-43.1523,-22.89615,10.3,256.4
0,-43.1492,-22.85048333,2.1,355.8
0,-43.1492,-22.85045,2.1,355.8
0,-43.17033333,-22.90241667,3.3,249.5
0,-43.14921667,-22.85043333,2.0,353.5
0,-43.16211667,-22.80838333,9.3,290.9
0,-43.14921667,-22.8504,1.8,351.4
0,-43.14923333,-22.85035,1.7,350.8
0,-43.1705,-22.90246667,3.1,250.3
0,-43.16251667,-22.80823333,9.4,290.5
