MMSI,Time,SOG,Longitude,Latitude,COG
70,20190806_025958,9.6,-43.1388130187988,-22.9715785980225,355
70,20190806_030459,9.5,-43.1394538879395,-22.9584541320801,0
70,20190806_030529,9.5,-43.1394691467285,-22.9570999145508,359
70,20190806_030548,9.5,-43.1394462585449,-22.9562454223633,0
70,20190806_030701,9.1,-43.1394386291504,-22.9531955718994,359
70,20190806_030718,9,-43.1394233703613,-22.9523162841797,1
70,20190806_030732,8.9,-43.1394538879395,-22.9518947601318,359
70,20190806_030849,8.5,-43.1394958496094,-22.9486522674561,0
70,20190806_030911,8.4,-43.139518737793,-22.9478721618652,359
70,20190806_030959,8.3,-43.1395416259766,-22.945972442627,0
70,20190806_031008,8.3,-43.1395454406738,-22.9455337524414,359
70,20190806_031019,8.1,-43.1395263671875,-22.9451751708984,0
70,20190806_031110,8.1,-43.1394729614258,-22.943302154541,359
70,20190806_031159,8,-43.1394996643066,-22.941463470459,0
70,20190806_031321,8.3,-43.1393547058105,-22.9383983612061,5
70,20190806_031411,8.9,-43.1391716003418,-22.9364223480225,10
70,20190806_031441,9,-43.1390609741211,-22.9351634979248,3
70,20190806_031537,8.9,-43.1388893127441,-22.9328155517578,356
70,20190806_031608,8.9,-43.1390533447266,-22.9314956665039,351
70,20190806_031708,9.1,-43.1396636962891,-22.9290046691895,346
70,20190806_032321,10.1,-43.1446266174316,-22.9127044677734,344
70,20190806_032928,8.8,-43.1497383117676,-22.8965225219727,343
70,20190806_033110,8.1,-43.1509895324707,-22.8926773071289,338
70,20190806_033140,7.9,-43.151496887207,-22.8916664123535,333
70,20190806_033211,7.5,-43.1520805358887,-22.8907299041748,327
70,20190806_033240,7.4,-43.1527099609375,-22.8899078369141,321
70,20190806_033306,7,-43.1533622741699,-22.8892364501953,315
70,20190806_033319,6.7,-43.1537017822266,-22.8889770507813,310
70,20190806_033340,6.5,-43.1542434692383,-22.888599395752,304
70,20190806_033357,6.2,-43.1546401977539,-22.8883571624756,298
70,20190806_033406,6,-43.1549377441406,-22.8882503509521,293
70,20190806_033430,5.7,-43.1555709838867,-22.8880271911621,287
70,20190806_033450,5.7,-43.1561546325684,-22.8879146575928,280
70,20190806_033510,5.7,-43.1566734313965,-22.8878574371338,273
70,20190806_033619,6.7,-43.1589012145996,-22.8878192901611,268
70,20190806_033749,7.5,-43.1621360778809,-22.8880558013916,263
70,20190806_033841,8,-43.1641693115234,-22.8883628845215,258
70,20190806_033919,8.1,-43.1657638549805,-22.8885746002197,263
70,20190806_034158,6.5,-43.1715965270996,-22.8892116546631,258
70,20190806_034539,5.2,-43.1778755187988,-22.8906078338623,253
70,20190806_034639,4.9,-43.1793518066406,-22.890941619873,259
70,20190806_034659,4.7,-43.1798210144043,-22.8909873962402,265
70,20190806_034739,4.5,-43.1806907653809,-22.8910064697266,270
70,20190806_034909,4.2,-43.1827011108398,-22.8910140991211,264
70,20190806_035020,4.4,-43.184211730957,-22.8911476135254,269
70,20190806_035152,4,-43.1861343383789,-22.8910388946533,274
70,20190806_035403,3.5,-43.1885108947754,-22.8907623291016,279
70,20190806_035620,2.8,-43.1907958984375,-22.8904991149902,274
70,20190806_035800,1.3,-43.1919059753418,-22.89040184021,281
70,20190806_035819,1.1,-43.192024230957,-22.8903636932373,292
70,20190806_035830,1,-43.1920547485352,-22.8903465270996,297
70,20190806_035900,0.8,-43.1921768188477,-22.8902740478516,303
70,20190806_035920,0.8,-43.1922454833984,-22.8902435302734,289
70,20190806_035930,0.8,-43.1922760009766,-22.890251159668,284
70,20190806_040001,1,-43.1924285888672,-22.8902149200439,278
70,20190806_040018,1.1,-43.1925201416016,-22.8901901245117,273
70,20190806_040421,1.3,-43.1940574645996,-22.8900833129883,268
70,20190806_040458,1.1,-43.1943359375,-22.8901023864746,262
70,20190806_040528,1,-43.1944808959961,-22.8901062011719,254
70,20190806_040538,0.9,-43.1945343017578,-22.8901214599609,245
70,20190806_040552,0.8,-43.1945381164551,-22.89013671875,236
70,20190806_040559,0.8,-43.1945762634277,-22.8901767730713,226
70,20190806_040610,0.6,-43.1946182250977,-22.8902130126953,218
70,20190806_040622,0.6,-43.1946334838867,-22.8902225494385,211
70,20190806_040628,0.6,-43.1946220397949,-22.8902626037598,206
70,20190806_040639,0.6,-43.1946411132812,-22.8902988433838,200
70,20190806_040819,0.6,-43.1947860717773,-22.8906345367432,205
70,20190806_040919,0.6,-43.194881439209,-22.8907928466797,211
70,20190806_041129,0.8,-43.1951522827148,-22.8911647796631,218
70,20190806_041150,0.8,-43.1951942443848,-22.8912124633789,227
70,20190806_041200,0.8,-43.1952285766602,-22.8912296295166,239
70,20190806_041209,0.9,-43.195255279541,-22.8912467956543,250
70,20190806_041219,0.9,-43.1953125,-22.8912372589111,259
70,20190806_041230,1,-43.1953353881836,-22.8912601470947,267
70,20190806_041237,1.1,-43.1954154968262,-22.8912601470947,272
70,20190806_041301,1.1,-43.1955070495605,-22.8912677764893,279
70,20190806_041437,0.9,-43.1960411071777,-22.8911380767822,274
70,20190806_041445,0.6,-43.1960716247559,-22.891149520874,269
71,20190720_153241,12,-43.1581573486328,-22.9759674072266,6.4
71,20190720_153341,12.3,-43.1575164794922,-22.9726181030273,12
71,20190720_153542,13.3,-43.1557769775391,-22.9655876159668,20
71,20190720_153641,13.5,-43.154182434082,-22.9621429443359,26.5
71,20190720_153849,13.6,-43.1502494812012,-22.9549312591553,32.8
71,20190720_153925,13.6,-43.1487655639648,-22.9530124664307,38.8
71,20190720_153935,13.6,-43.1483535766602,-22.9524211883545,33.6
71,20190720_154108,12.9,-43.1447906494141,-22.947473526001,28.6
71,20190720_154148,12.5,-43.1437721252441,-22.9456005096436,22.6
71,20190720_154157,12.4,-43.1434135437012,-22.944995880127,28.5
71,20190720_154207,12.5,-43.143196105957,-22.9445056915283,22.6
71,20190720_154220,12.5,-43.1429061889648,-22.9440536499023,29.6
71,20190720_154229,12.4,-43.1426086425781,-22.9434185028076,24.1
71,20190720_154238,12.5,-43.1423225402832,-22.9429721832275,29.1
71,20190720_154248,12.4,-43.1421089172363,-22.9424953460693,23.3
71,20190720_154350,12.3,-43.1407432556152,-22.939302444458,16.3
71,20190720_154536,11.8,-43.1391372680664,-22.9332370758057,7.7
71,20190720_154607,11.5,-43.1389961242676,-22.9316253662109,2.7
71,20190720_154614,11.3,-43.1390151977539,-22.9312553405762,359.1
71,20190720_154636,10.5,-43.1391906738281,-22.9301109313965,349.6
71,20190720_154725,10.4,-43.1397819519043,-22.9278450012207,343.8
71,20190720_155259,11,-43.145263671875,-22.9117374420166,342.1
71,20190720_155858,9.5,-43.151008605957,-22.8954811096191,344.6
71,20190720_155955,9.4,-43.1518211364746,-22.8929557800293,338.3
71,20190720_160017,9.3,-43.1522216796875,-22.8921775817871,333.1
71,20190720_160046,9.1,-43.1528968811035,-22.8911209106445,327.3
71,20190720_160117,9,-43.1537780761719,-22.8900775909424,319.8
71,20190720_160159,8.5,-43.155029296875,-22.888822555542,312.8
71,20190720_160214,8.4,-43.1554985046387,-22.8884944915771,306.8
71,20190720_160226,8,-43.1559982299805,-22.8882179260254,300.3
71,20190720_160249,7.9,-43.1567840576172,-22.8878746032715,294.3
71,20190720_160302,7.7,-43.157299041748,-22.8876934051514,289.1
71,20190720_160327,7.2,-43.1581802368164,-22.8875122070313,280
71,20190720_160345,7.2,-43.1588325500488,-22.8874530792236,274.3
71,20190720_160356,7,-43.1592597961426,-22.8874530792236,269.1
71,20190720_160417,6.7,-43.1598701477051,-22.887523651123,262.1
71,20190720_160458,6.9,-43.1612892150879,-22.8878135681152,254.5
71,20190720_160535,7.2,-43.1625938415527,-22.888126373291,260
71,20190720_160626,7.2,-43.1644020080566,-22.8884887695313,253.6
71,20190720_160719,7.7,-43.1661911010742,-22.8888740539551,259.8
71,20190720_160834,8.3,-43.1693878173828,-22.8892650604248,264.8
71,20190720_161028,8.4,-43.1740913391113,-22.8895072937012,270.5
71,20190720_161137,8,-43.1770324707031,-22.8893203735352,280.1
71,20190720_161159,7.7,-43.1777305603027,-22.8891410827637,286.6
71,20190720_161229,7.2,-43.1787567138672,-22.888729095459,296.1
71,20190720_161317,7.2,-43.1803169250488,-22.8878898620605,301.3
71,20190720_161656,6.9,-43.1869468688965,-22.8839530944824,306.3
71,20190720_162226,2.3,-43.1940612792969,-22.8792572021484,312.1
71,20190720_162255,2,-43.1942672729492,-22.8790473937988,319.3
71,20190720_162356,2.1,-43.1946563720703,-22.8786106109619,314.3
71,20190720_162418,2.2,-43.1948432922363,-22.8784770965576,308.6
71,20190720_162438,2.6,-43.195068359375,-22.878345489502,303.3
71,20190720_162640,2.7,-43.1965065002441,-22.8774700164795,309.1
71,20190720_162730,2.5,-43.1969718933105,-22.8770694732666,314.1
71,20190720_162925,2.3,-43.1980133056641,-22.8761024475098,308
71,20190720_162956,2.2,-43.1983070373535,-22.8759212493896,301.8
71,20190720_163105,2.1,-43.1989707946777,-22.8755874633789,295.8
71,20190720_163125,2.1,-43.1991691589355,-22.8755187988281,289.5
71,20190720_163148,1.8,-43.1993637084961,-22.8754692077637,283
71,20190720_163206,1.8,-43.1995239257812,-22.875467300415,274.5
71,20190720_163227,1.8,-43.1997261047363,-22.8754653930664,269.1
71,20190720_163339,1.8,-43.2004280090332,-22.8754978179932,264
71,20190720_163455,1.8,-43.2011756896973,-22.8756122589111,258.6
71,20190720_163935,0.4,-43.203052520752,-22.8758735656738,319.6
70,20190720_030038,7.7,-43.1341896057129,-22.972692489624,326.1
70,20190720_030126,7.5,-43.1351623535156,-22.9711456298828,333.1
70,20190720_030319,7.2,-43.1368942260742,-22.9677429199219,340.3
70,20190720_030335,7.2,-43.1370735168457,-22.9671325683594,345.5
70,20190720_030438,6.7,-43.1374435424805,-22.965238571167,355.8
70,20190720_030958,9.1,-43.1384201049805,-22.9531307220459,0.2
70,20190720_031007,9.3,-43.1384963989258,-22.9526996612549,352.6
70,20190720_031015,9.3,-43.1384963989258,-22.9523124694824,357.8
70,20190720_031407,9,-43.139274597168,-22.9422969818115,0.6
70,20190720_031415,9.1,-43.1393547058105,-22.941915512085,350.1
70,20190720_031429,9,-43.1393585205078,-22.9414577484131,356.3
70,20190720_032027,8.6,-43.1403694152832,-22.9267177581787,349.8
70,20190720_032238,8.5,-43.1416320800781,-22.9217376708984,344.8
70,20190720_032936,9.3,-43.1465797424316,-22.9056148529053,342.6
70,20190720_033346,9.8,-43.1508331298828,-22.8946723937988,336
70,20190720_033416,9.5,-43.1515197753906,-22.8934879302979,329.1
70,20190720_033449,9,-43.1523132324219,-22.8924350738525,322.8
70,20190720_033517,8.6,-43.153190612793,-22.8915138244629,316.3
70,20190720_033548,8.4,-43.1541595458984,-22.8907222747803,309.8
70,20190720_033615,8.1,-43.1551742553711,-22.8900604248047,303
70,20190720_033637,8,-43.1559066772461,-22.8896923065186,296.6
70,20190720_033656,7.7,-43.1564826965332,-22.8894824981689,291.1
70,20190720_033709,7.5,-43.1570663452148,-22.8893241882324,285.6
70,20190720_033800,7.2,-43.1587753295898,-22.8890476226807,277.1
70,20190720_033856,7.2,-43.1609268188477,-22.8889064788818,271.1
70,20190720_034118,7.2,-43.165943145752,-22.889087677002,265.8
70,20190720_034508,6.9,-43.1742362976074,-22.8894596099854,271
70,20190720_034547,6.7,-43.1756324768066,-22.8893642425537,277.6
70,20190720_034626,6.4,-43.1768913269043,-22.8891487121582,284.3
70,20190720_034654,6.2,-43.1777801513672,-22.8888893127441,289.6
70,20190720_034736,6,-43.1789436340332,-22.8884124755859,295.8
70,20190720_035006,5.9,-43.182861328125,-22.8863830566406,301.3
70,20190720_035507,5.2,-43.1899185180664,-22.8819522857666,306.5
70,20190720_040349,3.6,-43.1983985900879,-22.8761196136475,299
70,20190720_040417,3.2,-43.1988716125488,-22.875919342041,293.8
70,20190720_040446,3.1,-43.1993217468262,-22.8757762908936,288
70,20190720_040517,2.8,-43.1997604370117,-22.8756885528564,281.1
70,20190720_040549,2.6,-43.2001609802246,-22.8756504058838,275.5
70,20190720_040617,2.3,-43.2005271911621,-22.8756446838379,270.3
70,20190720_040659,2.3,-43.2009887695313,-22.8756847381592,263
70,20190720_040746,2.5,-43.2015914916992,-22.8757991790771,257.3
70,20190720_040857,2.7,-43.2024993896484,-22.8760509490967,250.5
70,20190720_040937,2.8,-43.2030258178711,-22.8762664794922,244
70,20190720_041008,3,-43.2033805847168,-22.8764591217041,238.5
70,20190720_041155,3.1,-43.2048072814941,-22.8773727416992,233.4
70,20190720_041328,3.1,-43.2059135437012,-22.8782329559326,228.1
70,20190720_042117,2.7,-43.2106285095215,-22.8822231292725,222.6
70,20190720_042416,1.3,-43.2119064331055,-22.883602142334,216.5
70,20190720_042618,1,-43.2123107910156,-22.8840827941895,224
70,20190720_042718,1,-43.2125396728516,-22.88427734375,230.8
70,20190720_042748,1,-43.2126655578613,-22.8843650817871,236
70,20190720_042836,1,-43.2128715515137,-22.8844985961914,231
70,20190720_042857,0.9,-43.212947845459,-22.884557723999,225.8
70,20190720_042948,1,-43.2131195068359,-22.8847103118896,235.8
70,20190720_043007,0.9,-43.2132034301758,-22.8847579956055,241
70,20190720_043039,0.5,-43.2133102416992,-22.8848075866699,247.3
70,20190725_024515,6.5,-43.1378860473633,-22.9768218994141,356.3
70,20190725_024541,6.9,-43.1379013061523,-22.9759616851807,0.5
70,20190725_024548,6.9,-43.1379051208496,-22.9757328033447,359.6
70,20190725_024549,7,-43.1379013061523,-22.9756355285645,0.5
70,20190725_024601,7,-43.1378936767578,-22.9753036499023,359.5
70,20190725_024606,7,-43.1378784179687,-22.9751720428467,2.3
70,20190725_024650,7.2,-43.1378555297852,-22.9736061096191,358.5
70,20190725_024750,7.7,-43.1380386352539,-22.9715938568115,351.3
70,20190725_024925,9,-43.1384544372559,-22.9677238464355,357.1
70,20190725_024952,9.5,-43.1384582519531,-22.9665412902832,2.2
70,20190725_024956,9.4,-43.1384696960449,-22.9662799835205,359.8
70,20190725_025006,9.5,-43.1384696960449,-22.9659671783447,0.2
70,20190725_025023,9.5,-43.1384582519531,-22.965202331543,359.5
70,20190725_025028,9.6,-43.1384429931641,-22.9648876190186,0.9
70,20190725_025037,9.5,-43.1384468078613,-22.9644794464111,358.8
70,20190725_025047,9.6,-43.1384468078613,-22.9639797210693,0.2
70,20190725_025056,9.6,-43.1384468078613,-22.9637088775635,359.8
