MMSI,Time,SOG,Longitude,Latitude,COG
564176000,20190216_163115,0.3,-41.2595,-23.3178333,114
710030820,20190216_174726,0.9,-40.092625,-22.4878917,12
710033160,20190216_163513,0.1,-42.9603317,-25.1343083,161
710335000,20190216_193154,0.2,-42.8518883,-23.782255,4
477046800,20190216_213343,10.8,-46.3735783,-23.87197,221
710026070,20190216_193152,0.4,-39.7539667,-21.9571333,176
636013239,20190216_182937,12.4,-39.396635,-22.1471383,163
710000458,20190216_182920,0.9,-41.233325,-23.3065417,258.5
710069000,20190216_230229,0,-44.3470133,-24.388875,189
636018233,20190217_003421,0,-38.7606733,-27.9284067,191
309362000,20190216_233408,13.1,-43.49265,-24.9181667,48
533130892,20190216_070702,10.4,-45.3884567,-23.8090467,225
538006773,20190216_112927,0.1,-43.14822,-22.877595,182
710001810,20190216_233134,0,-46.2925517,-23.99116,283.5
477950200,20190216_230351,0.2,-46.3371817,-24.10128,233
311046300,20190216_182725,11.3,-42.2383933,-24.6569767,93
538002411,20190217_032929,0,-38.2821883,-27.9340167,205
565814000,20190217_010353,0,-40.481005,-21.9388967,282
710010930,20190215_214708,7.9,-41.75167,-22.37,203
710010740,20190217_052954,0.1,-43.1172933,-22.8209683,274.8
257420000,20190216_193150,0,-39.98799,-22.1361683,151
239933000,20190215_214910,12.8,-43.7915167,-23.8098667,77
371400000,20190216_183419,0.1,-43.158855,-22.8618767,282.6
374171000,20190216_190139,0,-46.37451,-23.87086,32
354668000,20190216_190058,13.2,-44.8223,-27.80215,170
710001720,20190216_163623,0,-43.1657,-22.8557917,135
538002459,20190216_230147,0.3,-46.3225667,-24.0879833,188
416004839,20190215_064938,8.3,-39.7257583,-26.045145,264.4
710002440,20190216_203613,0.1,-43.1400067,-22.899595,271.5
710028850,20190216_163013,0,-48.497,-25.5142883,86
710003080,20190216_230443,0,-43.1375333,-22.8337167,182
371651000,20190216_203142,0.2,-46.3138417,-24.0939733,221
210560000,20190216_123121,0.3,-48.6124167,-28.2410833,45
710002780,20190216_231133,0,-43.1254917,-22.8270567,0
311067800,20190216_003101,0.1,-39.8348833,-21.9863667,171
577189000,20190216_073508,0.1,-42.7227217,-25.37338,122
636018032,20190216_210313,0,-42.51333,-24.64833,192
636018340,20190217_010614,0,-38.577,-26.1322167,86
636091028,20190216_213340,0,-46.2903333,-23.9679667,64
710032560,20190216_182724,0.8,-43.014805,-23.881065,341
710074009,20190216_010213,14.5,-48.3763033,-27.9241717,255
235101697,20190216_193032,0.1,-40.0334167,-22.46635,189
311744000,20190216_210334,0,-41.3961833,-22.7322333,144
355422000,20190216_210325,0.4,-42.42695,-24.6280333,146
710002660,20190216_160705,0,-48.5192333,-25.5023833,183
241244000,20190216_090409,0.2,-43.3671117,-25.7638617,238
538005906,20190216_235955,4.8,-46.3239167,-24.1483167,87
636018844,20190216_230448,0,-44.0328467,-23.0126067,241
710000224,20190216_233240,0,-43.1707867,-22.9178083,266.3
710002134,20190216_160129,0.2,-42.8540417,-24.0571067,162
248540000,20190215_082621,9.7,-41.436725,-26.1202783,222
538002911,20190215_080508,0,-46.3285167,-23.92555,297
247311100,20190216_190651,21.3,-46.338,-24.0085,175
710002921,20190216_060830,0,-48.6905817,-26.881095,180
249322000,20190216_143045,0,-48.4966333,-25.5000667,279
710030460,20190216_233511,3.3,-46.291265,-23.9823067,283.4
209034000,20190216_230817,0.3,-46.312715,-23.942935,73
373519000,20190216_232921,0,-46.3157267,-24.1298683,220
220188000,20190216_163552,11.1,-41.8109317,-23.3134433,190
210274000,20190215_090337,0,-48.6511167,-28.2302833,343
538003990,20190216_230845,0.2,-46.287105,-23.97593,214
259578000,20190216_090330,0.6,-42.6192017,-24.5770667,169
354396000,20190216_230607,0,-48.5162667,-25.5026,96
710999986,20190216_203227,0,-46.3327967,-24.0520883,348
477699700,20190216_180146,0.1,-48.3999717,-25.5018717,197
710031370,20190216_203818,8.2,-39.8310833,-22.08654,257
374496000,20190215_165716,0.4,-48.2477267,-25.6894667,165
374809000,20190215_100444,0,-48.6387017,-26.233535,138
538003219,20190216_233519,0,-46.3169117,-23.9336467,292
257125000,20190216_233215,0.5,-44.4690767,-23.1333133,110
249877000,20190216_233358,16,-48.0373333,-26.2702333,295
356568000,20190216_230436,0,-41.6991067,-22.3972767,177
371991000,20190216_090437,0.6,-46.6935933,-24.8877033,84
373830000,20190217_015759,0.1,-40.7743,-22.3339983,146
477423700,20190216_070702,15.1,-48.6620217,-26.901225,141
710000750,20190216_052948,0.9,-44.38929,-24.3510367,165
710010960,20190216_233340,0.7,-46.5722,-26.46479,159
710000391,20190216_070418,0.1,-45.3829317,-23.803385,295
248828000,20190216_183749,0,-48.5447383,-25.499705,264
710001593,20190216_213050,5.5,-44.2373833,-23.05745,52.3
710003485,20190216_133737,6.4,-41.0109817,-21.8734033,208
249650000,20190217_040154,0,-38.4239167,-26.8436667,171
477759400,20190217_035828,0,-39.5612367,-25.5294717,337.7
477003800,20190216_230528,0,-46.3033833,-23.9618167,142
235507000,20190217_040156,16,-39.03578,-26.9215117,29
710029020,20190216_225945,2.4,-40.699105,-21.886575,12
710000390,20190215_130722,0,-43.2125367,-22.8689817,132.2
248133000,20190216_234152,8.1,-42.6432367,-25.45083,172
351782000,20190216_210101,0,-48.51709,-25.502375,149
310515000,20190216_230123,0.1,-46.32845,-23.92555,192
710074009,20190217_055944,14.5,-48.5274217,-28.4954867,255
548799000,20190217_093314,0,-47.19215,-28.0157833,223
311000324,20190217_023507,0,-39.95295,-22.8013167,173
710007940,20190215_195618,15.3,-48.4698383,-26.20173,100.1
308293000,20190215_143131,0,-45.36,-23.7475667,85
710023770,20190215_143252,0,-43.1550483,-22.8968833,293.5
538005252,20190215_143623,18,-46.1250333,-24.1045667,190
710033120,20190216_123031,0.8,-39.9148633,-22.1232417,181
710100009,20190217_142958,0.1,-46.3098467,-23.95204,274.8
710008290,20190217_142958,0.7,-43.1579233,-22.936055,175.9
353558000,20190215_155407,0.2,-40.1189833,-22.5577633,5.9
416132600,20190216_090324,4.4,-38.51076,-25.3471067,219.2
351242000,20190216_113009,3.7,-42.4946,-24.6674817,339
248128000,20190217_133810,0.1,-46.9553817,-28.6223967,71
477265100,20190217_100331,13.2,-38.51673,-25.308465,282
414145000,20190217_113207,13.1,-40.7396933,-22.3002717,19
305590000,20190216_180345,13,-43.152755,-23.0277767,240
311000552,20190216_233557,13.8,-46.3832433,-24.1335083,32
311000157,20190216_203459,0.3,-46.3066833,-24.2109,239
311005500,20190217_100420,11.5,-44.0379,-28.1532333,193
710911191,20190217_173021,0.1,-43.1841067,-22.8940117,274.8
538005879,20190217_060905,0,-39.6201617,-22.4033883,55
710000043,20190216_220312,0,-43.2060917,-22.86991,298.7
710231000,20190216_193106,0.1,-42.222325,-24.5241133,333
308108000,20190216_191930,0.2,-42.71433,-24.3010333,202
351617000,20190216_230615,3.8,-42.936475,-24.9925267,186
