MMSI,Time,SOG,Longitude,Latitude,COG
538006773,20190216_112927,0.1,-43.14822,-22.877595,182
710010740,20190217_052954,0.1,-43.1172933,-22.8209683,274.8
371400000,20190216_183419,0.1,-43.158855,-22.8618767,282.6
710001720,20190216_163623,0,-43.1657,-22.8557917,135
710002440,20190216_203613,0.1,-43.1400067,-22.899595,271.5
710003080,20190216_230443,0,-43.1375333,-22.8337167,182
710002780,20190216_231133,0,-43.1254917,-22.8270567,0
710000224,20190216_233240,0,-43.1707867,-22.9178083,266.3
710000390,20190215_130722,0,-43.2125367,-22.8689817,132.2
710023770,20190215_143252,0,-43.1550483,-22.8968833,293.5
710008290,20190217_142958,0.7,-43.1579233,-22.936055,175.9
305590000,20190216_180345,13,-43.152755,-23.0277767,240
710911191,20190217_173021,0.1,-43.1841067,-22.8940117,274.8
710000043,20190216_220312,0,-43.2060917,-22.86991,298.7
370648000,20190216_123022,14.2,-43.18265,-22.8947667,187
710010940,20190216_233031,0,-43.1289167,-22.8241383,176
710021030,20190215_203222,0,-43.15601,-22.81346,25.4
710000692,20190216_203455,0,-43.169775,-22.9186083,289
710777777,20190216_233238,19,-43.11161,-22.8708117,107.2
710000009,20190216_090443,0.1,-43.121505,-22.8777467,191.2
710000693,20190216_175936,0,-43.1152683,-22.8818333,280.7
710074100,20190216_150828,0,-43.1279117,-22.8655517,49.8
710005520,20190215_223125,0,-43.2108167,-22.867925,67
309856000,20190216_230001,0,-43.1325333,-22.8773967,308.1
710003080,20190217_210750,0,-43.1373833,-22.8339167,182
710000693,20190217_203239,0,-43.11522,-22.8819,280.7
710000224,20190217_080241,0,-43.17078,-22.91785,266.3
710021570,20190217_212948,0.2,-43.1604667,-22.851745,96
710033220,20190217_203611,0,-43.138935,-22.8448983,65
710002134,20190217_222951,0.2,-43.1455883,-22.84579,162
710006650,20190217_203010,0,-43.1099717,-22.865105,330.2
710019710,20190217_093358,9.2,-43.17131,-22.902735,75.3
710015960,20190217_223250,0.2,-43.1626967,-22.8541,257
309856000,20190217_223023,0,-43.132505,-22.8774367,308.1
710000698,20190217_200331,0,-43.1426867,-22.8485217,304
710001510,20190217_023056,0,-43.12832,-22.843185,17
710245000,20190217_223207,3.7,-43.2060533,-22.8961267,158
710002720,20190217_043108,0.1,-43.1107867,-22.8642833,359.5
371400000,20190217_195909,0.1,-43.1589233,-22.86127,282.6
413305440,20190217_223319,0,-43.1433083,-22.842935,143
710002860,20190217_200857,0.1,-43.1503017,-22.8463717,202
710026060,20190217_020724,0,-43.1298167,-22.8767433,256
710033210,20190217_200711,0,-43.1459533,-23.039555,19
710029420,20190217_203239,6.8,-43.202695,-22.8730683,253.4
259069000,20190217_221010,9.8,-43.1336233,-22.8462433,278
710028750,20190217_223129,0.2,-43.123575,-22.8776483,13.4
710033270,20190216_200129,0,-43.12835,-22.87638,77
314450000,20190217_053141,0,-43.2114067,-22.8823033,221
710022810,20190217_200533,0.2,-43.162935,-22.858995,235
710000000,20190217_220732,0,-43.116275,-22.8201617,0
710001720,20190217_212830,0,-43.1653933,-22.8554317,135
710025250,20190216_130214,0.6,-43.1311683,-22.87742,233.4
