MMSI,Time,SOG,Longitude,Latitude,COG
0,20190214_175900,9.20,-43.172,-22.903,75.30
0,20190214_183500,20.30,-43.163,-22.895,101.40
0,20190214_184000,21.20,-43.137,-22.916,286.90
3,20190214_200700,6.60,-43.116,-22.882,349
0,20190214_203400,19,-43.114,-22.863,107.20
5,20190214_230700,7.90,-43.151,-22.805,1
6,20190215_113000,13,-43.15,-23.027,240
5,20190215_123200,7.90,-43.151,-22.805,1
3,20190215_133200,10,-43.151,-22.887,66
0,20190215_133900,9.20,-43.125,-22.894,75.30
5,20190215_193400,7.30,-43.141,-23.038,3
0,20190215_203200,9.60,-43.121,-22.878,305.70
0,20190215_210500,20.30,-43.162,-22.901,101.40
5,20190215_230300,5.80,-43.033,-23.032,290
5,20190215_230600,7.20,-43.165,-23.036,79
6,20190215_230800,6.20,-43.15,-22.903,271
0,20190215_233100,21.20,-43.152,-22.831,286.90
0,20190216_025900,9.80,-43.125,-22.894,260.50
3,20190216_073500,13.90,-43.142,-22.925,228
6,20190216_123000,14.20,-43.183,-22.895,187
3,20190216_130800,21.20,-43.121,-22.878,286.90
6,20190216_180300,13,-43.153,-23.028,240
6,20190216_203700,7.30,-43.141,-23.037,3
0,20190216_220300,9.60,-43.172,-22.903,305.70
0,20190216_230200,20.30,-43.1,-22.931,101.40
3,20190216_233000,10,-43.182,-22.853,66
26,20190216_233200,19,-43.112,-22.871,107.20
3,20190216_233500,9.80,-43.134,-22.846,278
0,20190216_233500,18,-43.123,-22.786,45.50
6,20190217_093300,9.20,-43.171,-22.903,75.30
26,20190217_093600,21.30,-43.17,-23.053,175
3,20190217_190500,8.90,-43.15,-22.85,202
26,20190217_195800,19,-43.112,-22.871,107.20
3,20190217_200300,3.70,-43.141,-22.851,188
6,20190217_200400,6,-43.131,-22.847,284
6,20190217_200700,9.60,-43.154,-22.84,305.70
3,20190217_221000,9.80,-43.134,-22.846,278
6,20190217_223100,9.80,-43.126,-22.894,260.50
6,20190217_223200,7.20,-43.146,-22.886,79
6,20190218_033000,6,-43.131,-22.847,284
6,20190218_083100,12.70,-43.171,-22.833,186
6,20190218_093600,7.20,-43.146,-22.886,79
26,20190218_160800,10,-43.116,-22.882,193
26,20190218_163700,19,-43.117,-22.864,107.20
3,20190218_173400,9.60,-43.138,-22.877,89.60
6,20190218_180100,10.10,-43.167,-22.894,288.30
46,20190218_190300,12.90,-43.152,-23.036,224
6,20190218_194000,9.20,-43.125,-22.894,75.30
3,20190218_203700,21.20,-43.134,-22.876,286.90
3,20190218_213000,3.70,-43.141,-22.85,188
5,20190218_213200,20.30,-43.151,-22.835,101.40
6,20190218_220000,13,-43.152,-23.028,240
5,20190218_220300,11.20,-43.136,-22.878,183.60
3,20190218_223100,8.90,-43.12,-22.881,202
3,20190218_223700,9.80,-43.134,-22.848,278
46,20190219_053400,5.80,-43.162,-22.9,244.10
6,20190219_130200,13.10,-43.148,-22.885,28
6,20190219_133600,13,-43.151,-23.026,240
6,20190219_150500,18,-43.136,-22.878,45.50
6,20190219_152900,1.90,-43.139,-22.843,165
46,20190219_170200,12.90,-43.162,-22.823,224
6,20190219_170600,7.30,-43.153,-22.821,3
5,20190219_180100,20.30,-43.17,-22.903,101.40
26,20190219_183000,10,-43.136,-22.846,193
6,20190219_183200,10.10,-43.153,-22.914,288.30
3,20190219_183300,4.60,-43.133,-22.844,5
26,20190219_183500,15.70,-43.131,-23.01,119
6,20190219_190000,12.30,-43.153,-22.821,85
3,20190219_193400,9.20,-43.136,-22.826,56
5,20190219_193400,13.20,-43.148,-23.041,131
0,20190219_200200,11.30,-43.138,-22.944,186
5,20190219_200400,1.90,-43.137,-22.856,185
6,20190219_200600,9.60,-43.136,-22.892,305.70
3,20190219_202900,6.20,-43.151,-22.911,166
3,20190219_210200,8.90,-43.12,-22.881,202
6,20190219_213300,9.80,-43.126,-22.894,260.50
5,20190219_213700,11.20,-43.133,-22.877,183.60
46,20190219_223400,6.80,-43.189,-22.888,253.40
26,20190219_224100,3.60,-43.112,-22.87,256.40
6,20190220_003600,13,-43.15,-23.03,240
3,20190220_083100,7.60,-43.126,-22.877,346.60
6,20190220_120100,18,-43.121,-22.878,45.50
3,20190220_190100,4.80,-43.157,-22.873,285.10
3,20190220_193700,6.20,-43.151,-22.911,339
26,20190220_200000,10,-43.182,-22.854,66
5,20190220_201000,10.80,-43.153,-22.834,192.50
3,20190220_203500,4.60,-42.991,-23.045,5
5,20190220_213400,20.30,-43.15,-22.832,101.40
3,20190220_220600,16.10,-43.145,-22.891,206.20
6,20190221_130700,18,-43.121,-22.878,45.50
3,20190221_140000,6.20,-43.152,-22.906,339
6,20190221_160900,10.10,-43.16,-22.926,288.30
3,20190221_221400,4.70,-43.112,-22.865,194.40
5,20190221_223100,20.30,-43.12,-22.879,101.40
46,20190222_063500,13.20,-43.132,-22.895,71.30
6,20190222_063800,9.60,-43.158,-22.899,305.70
5,20190222_090700,12.90,-43.151,-23.027,228
3,20190222_111500,4.70,-43.127,-22.914,194.40
3,20190222_163000,9.20,-43.151,-22.805,56
3,20190222_203300,3.70,-43.162,-22.857,188
0,20190222_210100,5.30,-43.171,-22.903,51.60
3,20190222_223500,5.10,-43.138,-22.831,196
3,20190222_223700,7.90,-43.128,-22.826,269.20
3,20190222_223700,20,-43.156,-22.863,187
3,20190223_030600,9.20,-43.151,-22.805,56
0,20190223_063100,9.20,-43.142,-22.823,5.30
6,20190223_103600,10,-43.143,-22.848,348
6,20190223_120400,9.60,-43.143,-22.836,325
5,20190223_200100,3.90,-43.163,-22.897,46.90
46,20190223_203100,1.20,-43.149,-22.894,108
3,20190223_203400,5.10,-43.132,-22.865,196
5,20190223_220700,20.30,-43.1,-22.931,101.40
5,20190223_221100,6.20,-43.131,-22.866,241
5,20190224_123000,9.60,-43.155,-22.851,352.90
114,20190224_210300,6.70,-43.122,-22.87,329.30
6,20190224_210400,4,-43.186,-22.889,305.90
3,20190225_053200,20.20,-43.145,-22.91,168.10
5,20190225_130900,9.50,-43.152,-22.821,287
6,20190225_143100,4,-43.186,-22.888,305.90
6,20190225_153400,10.20,-43.157,-22.896,256.80
26,20190225_210300,9.20,-43.145,-22.883,228
3,20190225_221200,9,-43.149,-22.883,52
6,20190225_221200,12,-43.021,-23.033,147
5,20190226_053500,10,-43.152,-22.816,329.20
46,20190226_160300,11,-42.969,-23.041,89
26,20190226_164100,9.10,-43.155,-22.871,4
6,20190226_165800,4.20,-43.161,-22.858,204
46,20190226_170700,12.30,-43.171,-22.902,82.30
3,20190226_173200,20.50,-43.099,-22.931,157.80
5,20190226_183300,8.40,-43.144,-22.865,334
3,20190226_190500,5.40,-43.143,-22.853,301
6,20190226_200000,1.30,-43.162,-22.853,4
3,20190226_200800,7.20,-43.116,-22.82,45
