clusterindex,Longitude,Latitude,SOG,COG
0,-41.2595,-23.3178333,0.3,114.0
0,-41.2575,-23.3193333,0.3,114.0
0,-41.2586667,-23.319,0.1,38.0
0,-41.2574633,-23.3193233,0.1,38.0
0,-41.2576667,-23.3193333,0.3,114.0
0,-41.25788,-23.3192817,0.1,38.0
0,-41.2578333,-23.3193333,0.3,114.0
0,-41.2583333,-23.3191667,0.1,15.0
0,-41.2583333,-23.3191667,0.3,114.0
0,-41.2586667,-23.319,0.1,15.0
0,-41.2585,-23.319,0.1,21.0
0,-41.2640917,-23.32643,0.1,241.0
0,-41.2585,-23.3191667,0.1,21.0
0,-41.258615,-23.3181117,0.0,60.0
0,-41.2585,-23.3191667,0.1,15.0
0,-41.2617683,-23.326495,0.1,25.0
0,-41.2576667,-23.3193333,0.1,15.0
0,-41.2585,-23.319,0.2,33.0
0,-41.2583333,-23.3191667,0.2,26.0
0,-41.2566717,-23.3192017,0.2,33.0
0,-41.2637267,-23.323615,0.2,329.0
0,-41.2642233,-23.3251267,0.2,329.0
0,-41.258,-23.3193333,0.1,37.0
0,-41.2642783,-23.31679,0.5,225.9
0,-41.2563333,-23.3191667,0.1,37.0
0,-41.2573333,-23.3206667,0.2,167.0
0,-41.2578917,-23.311335,0.0,36.0
0,-41.2545,-23.3191667,0.1,83.0
0,-41.2639117,-23.317825,0.1,49.0
0,-41.2695483,-23.3183767,0.4,265.0
0,-41.2628967,-23.32068,0.1,49.0
0,-41.26771,-23.323565,0.4,265.0
0,-41.2538333,-23.312,0.5,62.0
0,-41.2590333,-23.3187533,0.0,19.0
0,-41.2599333,-23.3229067,0.0,24.0
0,-41.266565,-23.324855,0.4,265.0
0,-41.2466933,-23.29579,0.2,22.0
0,-41.25849,-23.3191233,0.0,19.0
0,-41.2586567,-23.3191083,0.0,19.0
0,-41.2578067,-23.3194133,0.0,19.0
0,-41.257425,-23.3193967,0.1,4.0
0,-41.2554083,-23.3164783,0.1,4.0
0,-41.2568333,-23.3193333,0.1,4.0
0,-41.257815,-23.3192967,0.1,351.0
0,-41.2586667,-23.319,0.1,351.0
0,-41.259465,-23.317905,0.1,351.0
0,-41.259,-23.3186667,0.2,357.0
0,-41.2595433,-23.3175817,0.1,351.0
0,-41.2593333,-23.3181667,0.4,70.0
0,-41.2576667,-23.3153333,0.4,70.0
0,-41.2595,-23.3176667,0.4,70.0
0,-41.2586667,-23.319,0.1,58.0
0,-41.2593333,-23.3183333,0.0,116.0
0,-41.259,-23.3186667,0.1,58.0
0,-41.2595,-23.317,0.0,116.0
0,-41.2568717,-23.3168917,0.5,70.0
0,-41.2595,-23.3171667,0.0,116.0
0,-41.2595,-23.3168333,0.3,104.0
0,-41.259,-23.3186667,0.1,102.0
0,-41.2585,-23.3191667,0.3,104.0
0,-41.2585,-23.3191667,0.3,44.0
0,-41.2586667,-23.319,0.3,44.0
0,-41.259,-23.3186667,0.3,44.0
0,-41.25883,-23.3188383,0.3,104.0
0,-41.2586667,-23.319,0.2,40.0
0,-41.2591817,-23.3184633,0.3,104.0
0,-41.2591667,-23.3183333,0.3,104.0
0,-41.2593333,-23.3183333,0.2,40.0
0,-41.2586233,-23.318975,0.2,39.0
0,-41.2583333,-23.3191667,0.2,21.0
0,-41.25824,-23.3191633,0.1,37.0
0,-41.2581667,-23.3191667,0.2,21.0
0,-41.2554817,-23.3164617,0.1,37.0
0,-41.2566667,-23.3191667,0.2,341.0
0,-41.259,-23.3186667,0.1,37.0
0,-41.2591667,-23.3186667,0.1,56.0
0,-41.2573333,-23.3193333,0.1,56.0
0,-41.2583333,-23.3191667,0.3,34.0
0,-41.2588333,-23.3188333,0.3,34.0
0,-41.2588333,-23.3188333,0.0,39.0
0,-41.2585,-23.319,0.3,34.0
0,-41.2581667,-23.3191667,0.2,25.0
0,-41.258675,-23.3189433,0.1,41.0
0,-41.258465,-23.3190667,0.1,41.0
0,-41.2586667,-23.319,0.3,34.0
1,-46.2925517,-23.99116,0.0,283.5
1,-46.2903333,-23.9679667,0.0,64.0
1,-46.287105,-23.97593,0.2,214.0
1,-46.3017233,-23.9916283,0.1,179.8
1,-46.3033683,-23.9929217,0.1,64.9
1,-46.29501,-23.994695,0.0,324.0
1,-46.2946167,-23.9722667,0.0,279.0
1,-46.291685,-23.976625,0.0,14.0
1,-46.2896933,-24.00325,0.0,281.0
1,-46.2939367,-23.972545,0.0,292.0
1,-46.295105,-23.994485,0.1,52.0
1,-46.2903333,-23.96795,0.0,64.0
1,-46.2940717,-23.9637133,0.1,138.0
1,-46.2912267,-23.98309,0.3,192.0
1,-46.294885,-23.99498,0.1,137.3
1,-46.2983817,-23.9677717,0.0,324.0
1,-46.2926667,-23.991185,0.0,283.5
1,-46.2970933,-23.98731,0.0,16.0
1,-46.301125,-23.99225,0.5,131.9
1,-46.2870783,-23.9759067,0.2,214.0
1,-46.2979083,-23.9683667,0.0,177.8
1,-46.2947367,-23.9636117,0.1,274.8
1,-46.30195,-23.992265,0.2,214.7
1,-46.2971317,-23.9873067,0.0,16.0
1,-46.2915267,-23.9873317,0.1,66.0
1,-46.2902617,-23.96798,0.2,170.0
1,-46.2886583,-23.97165,0.0,336.0
1,-46.2946167,-23.97225,0.0,279.0
1,-46.2868,-23.978715,0.2,177.0
1,-46.28837,-23.972335,0.2,232.0
1,-46.2949867,-23.994665,0.1,52.0
1,-46.3017417,-23.9916317,0.1,179.8
1,-46.2903567,-23.9684533,0.0,0.0
1,-46.2917817,-23.9763567,0.0,344.0
1,-46.2983433,-23.9678517,0.0,324.0
1,-46.2978233,-23.9686233,0.4,0.0
1,-46.2954683,-23.9623917,0.0,248.0
1,-46.2975917,-23.968875,0.0,324.0
1,-46.2872233,-23.9758383,0.1,222.0
1,-46.3019683,-23.99161,0.1,64.9
1,-46.3011267,-23.9920917,0.1,179.8
1,-46.2970883,-23.9873033,0.0,16.0
1,-46.295025,-23.9944317,0.1,81.1
