clusterindex,Longitude,Latitude,SOG,COG
0,-43.1172933,-22.8209683,0.1,274.8
0,-43.1375333,-22.8337167,0.0,182.0
0,-43.1254917,-22.8270567,0.0,0.0
0,-43.1289167,-22.8241383,0.0,176.0
0,-43.1373833,-22.8339167,0.0,182.0
0,-43.12832,-22.843185,0.0,17.0
0,-43.116275,-22.8201617,0.0,0.0
0,-43.09404,-22.8252933,0.0,0.0
0,-43.1062583,-22.8409533,0.0,0.0
0,-43.1258233,-22.8303133,0.0,12.0
0,-43.0966833,-22.8268983,0.0,107.9
0,-43.1289833,-22.8250083,0.0,176.0
0,-43.1297683,-22.8322167,0.0,167.0
0,-43.11748,-22.8208783,0.1,274.8
0,-43.1339983,-22.840805,0.0,151.0
0,-43.1169383,-22.82003,0.0,284.5
0,-43.0964567,-22.8264367,0.0,0.0
0,-43.1178233,-22.820615,0.1,274.8
0,-43.1148017,-22.8230217,0.0,0.0
0,-43.1361617,-22.83831,0.1,13.0
0,-43.12634,-22.8309117,0.0,12.0
0,-43.13244,-22.8397283,0.0,171.0
0,-43.1351867,-22.8221233,0.0,324.0
0,-43.1310333,-22.8295333,0.0,206.0
0,-43.09402,-22.825245,0.0,0.0
0,-43.1313533,-22.8346917,0.0,167.0
0,-43.09249,-22.82406,0.0,0.0
0,-43.1017833,-22.8328,0.0,342.0
0,-43.1220917,-22.8195483,0.0,0.0
0,-43.09401,-22.8253033,0.0,0.0
0,-43.1413383,-22.83769,0.1,274.8
0,-43.09252,-22.824125,0.0,0.0
0,-43.0915217,-22.8248467,0.0,319.0
0,-43.0927267,-22.82448,0.0,140.6
0,-43.0965533,-22.8264733,0.0,0.0
0,-43.1435867,-22.8324467,0.0,0.0
0,-43.1260417,-22.8301767,0.0,12.0
0,-43.1378167,-22.8347833,0.0,58.0
0,-43.0967017,-22.8269117,0.0,107.9
0,-43.1318967,-22.8351533,0.0,167.0
0,-43.1308833,-22.8296167,0.0,206.0
0,-43.14109,-22.83198,0.1,13.0
0,-43.1289117,-22.8437967,0.0,17.0
0,-43.0916333,-22.82488,0.0,319.0
0,-43.1356267,-22.8395383,0.0,201.0
0,-43.1267417,-22.8404983,0.0,324.0
0,-43.0982833,-22.83175,0.0,342.0
0,-43.096575,-22.826485,0.0,0.0
0,-43.0915983,-22.824865,0.0,319.0
0,-43.1305333,-22.8296333,0.0,206.0
0,-43.132635,-22.8421367,0.0,30.0
0,-43.1297383,-22.8378933,0.0,210.0
0,-43.1163433,-22.819915,0.1,274.8
0,-43.136425,-22.84218,0.1,274.8
0,-43.0915517,-22.824835,0.0,319.0
0,-43.1316183,-22.8346483,0.0,167.0
0,-43.0982833,-22.83175,0.0,342.0
0,-43.1405917,-22.8359217,0.1,13.0
0,-43.1380817,-22.840405,0.2,190.0
0,-43.1248883,-22.8377183,0.0,324.0
0,-43.1309167,-22.82955,0.0,206.0
0,-43.0965633,-22.8264617,0.0,0.0
0,-43.129925,-22.8380433,0.0,29.0
0,-43.1323733,-22.8415683,0.0,30.0
0,-43.0965583,-22.8264783,0.0,0.0
0,-43.135995,-22.8402383,0.1,274.8
0,-43.096695,-22.826845,0.0,0.0
0,-43.1362767,-22.8407183,0.0,8.7
0,-43.1262333,-22.8300317,0.0,32.0
0,-43.0940267,-22.8252867,0.0,0.0
0,-43.133125,-22.8462983,0.0,0.0
0,-43.1320333,-22.83388,0.0,167.0
0,-43.1284333,-22.8429767,0.0,204.0
0,-43.1283783,-22.8193017,0.0,45.0
0,-43.1173917,-22.82099,0.0,8.7
0,-43.1367117,-22.8393883,0.0,204.0
0,-43.1282633,-22.8186167,0.1,204.0
0,-43.1368333,-22.8394217,0.1,274.8
0,-43.1283917,-22.843265,0.0,358.0
0,-43.0967283,-22.8268667,0.0,0.0
0,-43.133585,-22.84482,0.1,26.0
0,-43.0982667,-22.83175,0.0,342.0
0,-43.0965767,-22.8265033,0.0,0.0
0,-43.13998,-22.8348883,0.1,13.0
0,-43.1303083,-22.8317617,0.0,39.0
0,-43.1320133,-22.8415133,0.0,207.0
0,-43.1168183,-22.8198167,0.0,0.0
0,-43.1320583,-22.8413083,0.0,207.0
0,-43.0982833,-22.83175,0.0,342.0
0,-43.1288083,-22.8437,0.0,14.0
0,-43.1340317,-22.8377467,0.0,91.0
0,-43.12827,-22.8186267,0.1,204.0
0,-43.13979,-22.8342733,0.1,13.0
0,-43.125485,-22.8381167,0.0,321.0
0,-43.1288117,-22.8394067,0.0,196.0
0,-43.0967,-22.8268667,0.0,0.0
0,-43.1320133,-22.8354083,0.0,18.0
0,-43.13385,-22.845455,0.1,26.0
0,-43.137,-22.8351667,0.1,170.0
0,-43.1288567,-22.8198417,0.0,341.0
0,-43.14253,-22.8362267,0.2,201.0
