MMSI;Time;SOG;Longitude;Latitude;COG
117;19900101_051759;0.5;-43.16243333;-22.89253333;66.8
208;19900101_051848;0.2;-43.16113333;-22.85933333;310.1
212;19900101_051858;0;-43.12151667;-22.87786667;317.6
211;19900101_051920;0;-43.12201667;-22.87761667;203.8
305;19900101_051927;10.8;-43.12633333;-22.78833333;48.6
106;19900101_051929;11;-43.04068333;-23.05216667;308.7
436;19900101_051939;6.3;-43.16436667;-22.90026667;246.9
307;19900101_051949;2.6;-43.17093333;-22.90223333;54.2
502;19900101_051953;0;-43.09396667;-22.825;75.3
518;19900101_052002;0;-43.16935;-22.91846667;360
107;19900101_052007;0;-43.17093333;-22.90306667;278.3
202;19900101_052018;0.1;-43.1603;-22.85631667;360
447;19900101_052020;9.1;-43.00546667;-23.0421;92.5
311;19900101_052030;9.4;-43.15316667;-22.81498333;318
416;19900101_052033;0;-43.13106667;-22.84916667;50.2
428;19900101_052042;0;-43.12068333;-22.88116667;204.3
209;19900101_052102;0.1;-43.13008333;-22.82996667;360
407;19900101_052114;0.5;-43.1461;-22.84541667;139.8
403;19900101_052202;0.1;-43.17526667;-22.8557;354.3
308;19900101_052218;0;-43.12133333;-22.87835;258.5
310;19900101_052226;0;-43.1253;-22.89398333;139.8
515;19900101_052231;6.3;-43.152;-22.83183333;180
412;19900101_052249;0;-43.14643333;-22.84193333;319.1
433;19900101_052252;0.1;-43.13673333;-22.85176667;88.8
206;19900101_052253;6.5;-43.15226667;-22.83096667;179
210;19900101_052259;0;-43.12153333;-22.87786667;198
306;19900101_052302;10.9;-43.14035;-22.89391667;265
439;19900101_052313;0;-43.1228;-22.87058333;20.1
445;19900101_052318;0;-43.13051667;-22.85293333;222
415;19900101_052319;0;-43.11168333;-22.86993333;268.5
413;19900101_052326;4.5;-43.15045;-22.85413333;22.4
505;19900101_052328;0.1;-43.11695;-22.8208;107.7
444;19900101_052329;0.1;-43.14173333;-22.84595;44
207;19900101_052333;0;-43.13141667;-22.8645;300.1
404;19900101_052337;0.1;-43.13121667;-22.87726667;174.1
401;19900101_052342;0;-43.11175;-22.86883333;0
504;19900101_052343;0;-43.1292;-22.83493333;354.7
510;19900101_052348;0.1;-43.13215;-22.8243;341
309;19900101_052348;0;-43.17163333;-22.9021;254.3
515;19900101_052349;6.3;-43.152;-22.83183333;179.7
440;19900101_052349;0.1;-43.1465;-22.8378;297.2
201;19900101_052358;0;-43.12201667;-22.87771667;256.8
503;19900101_052359;0;-43.09293333;-22.82458333;0
431;19900101_052401;0.1;-43.1255;-22.83105;255.7
211;19900101_052407;0;-43.122;-22.87761667;203.8
103;19900101_052412;12.1;-43.13576667;-22.89495;74.7
208;19900101_052413;0.2;-43.16113333;-22.85935;311.4
102;19900101_052413;0.1;-43.17403333;-22.86266667;217.5
307;19900101_052417;3.2;-43.17081667;-22.90218333;65.3
304;19900101_052418;15.4;-43.11365;-22.91786667;298
212;19900101_052419;0;-43.12151667;-22.87786667;317.6
117;19900101_052419;0.7;-43.1624;-22.89251667;69.3
202;19900101_052426;0.3;-43.1603;-22.85631667;360
515;19900101_052429;6.4;-43.152;-22.832;180.1
428;19900101_052431;0;-43.12068333;-22.88116667;204.3
305;19900101_052434;10.9;-43.12593333;-22.788;48.4
106;19900101_052435;11.2;-43.04116667;-23.05181667;310.2
