MMSI;Time;SOG;Longitude;Latitude;COG
208;19900101_051848;0.2;-43.16113333;-22.85933333;310.1
212;19900101_051858;0;-43.12151667;-22.87786667;317.6
211;19900101_051920;0;-43.12201667;-22.87761667;203.8
202;19900101_052018;0.1;-43.1603;-22.85631667;360
209;19900101_052102;0.1;-43.13008333;-22.82996667;360
206;19900101_052253;6.5;-43.15226667;-22.83096667;179
210;19900101_052259;0;-43.12153333;-22.87786667;198
207;19900101_052333;0;-43.13141667;-22.8645;300.1
201;19900101_052358;0;-43.12201667;-22.87771667;256.8
211;19900101_052407;0;-43.122;-22.87761667;203.8
208;19900101_052413;0.2;-43.16113333;-22.85935;311.4
212;19900101_052419;0;-43.12151667;-22.87786667;317.6
202;19900101_052426;0.3;-43.1603;-22.85631667;360
209;19900101_052452;0.1;-43.13008333;-22.82995;360
210;19900101_052508;0;-43.12153333;-22.87786667;198
206;19900101_052514;6.6;-43.15225;-22.8313;179
207;19900101_052534;0;-43.13141667;-22.8645;300.1
201;19900101_052555;0;-43.12201667;-22.87771667;255
208;19900101_052618;0.2;-43.16113333;-22.85933333;311.6
211;19900101_052619;0;-43.122;-22.87761667;203.8
212;19900101_052654;0;-43.12153333;-22.87788333;317.6
202;19900101_052706;0.2;-43.16031667;-22.85631667;360
206;19900101_054820;6.6;-43.15225;-22.83158333;181.1
210;19900101_055621;0;-43.12156667;-22.87786667;198
209;19900101_055714;0.1;-43.13008333;-22.82996667;360
207;19900101_070035;0;-43.13141667;-22.8645;300.1
201;19900101_070107;0;-43.122;-22.87771667;254.3
208;19900101_070118;0.2;-43.16116667;-22.85933333;312.6
211;19900101_070248;0;-43.122;-22.87761667;203.8
212;19900101_070300;0;-43.12155;-22.87788333;317.6
202;19900101_070525;0.3;-43.16031667;-22.85631667;360
209;19900101_070536;0.1;-43.13006667;-22.82996667;360
206;19900101_070547;6.6;-43.15226667;-22.83188333;182
210;19900101_070955;0;-43.12158333;-22.87788333;198
207;19900101_072533;0;-43.13141667;-22.8645;300.1
201;19900101_072633;0;-43.122;-22.87771667;253
208;19900101_072648;0.1;-43.16115;-22.85933333;313.3
211;19900101_072648;0;-43.122;-22.87763333;203.8
212;19900101_073012;0;-43.12153333;-22.87786667;317.6
202;19900101_073133;0.2;-43.16033333;-22.85631667;360
209;19900101_073712;0.1;-43.13008333;-22.82996667;360
210;19900101_082901;0;-43.12158333;-22.87788333;198
206;19900101_083000;6.7;-43.15226667;-22.83225;179.8
207;19900101_083236;0;-43.13141667;-22.8645;300.1
201;19900101_083314;0;-43.122;-22.87771667;251.5
208;19900101_083334;0.2;-43.16116667;-22.85931667;313.1
211;19900101_083345;0;-43.122;-22.87763333;203.8
212;19900101_083412;0;-43.12153333;-22.87786667;317.6
209;19900101_083458;0;-43.13008333;-22.82995;360
206;19900101_083511;6.7;-43.15226667;-22.83248333;177.2
210;19900101_083648;0;-43.12158333;-22.8779;198
207;19900101_083744;0.1;-43.13141667;-22.8645;300.1
201;19900101_083813;0;-43.122;-22.87771667;254.7
208;19900101_083914;0.1;-43.16118333;-22.85931667;313.5
212;19900101_083925;0;-43.12153333;-22.87786667;317.6
211;19900101_084014;0;-43.12201667;-22.87763333;203.8
209;19900101_084305;0;-43.13008333;-22.82995;360
210;19900101_084325;0;-43.1216;-22.8779;198
206;19900101_085937;6.7;-43.15225;-22.83281667;177.6
207;19900101_090112;0;-43.13141667;-22.86448333;300.1
201;19900101_090236;0;-43.122;-22.87771667;255.8
211;19900101_090258;0;-43.12201667;-22.87761667;203.8
208;19900101_090301;0.1;-43.16116667;-22.85931667;313.5
212;19900101_090707;0;-43.12153333;-22.87785;317.6
209;19900101_090757;0.1;-43.13008333;-22.82995;360
210;19900101_091145;0;-43.1216;-22.8779;198
206;19900101_091153;6.8;-43.15223333;-22.83315;175.8
207;19900101_094111;0;-43.1314;-22.8645;300.1
201;19900101_094232;0;-43.122;-22.87771667;255.6
208;19900101_094432;0.2;-43.16116667;-22.85931667;313.8
211;19900101_094436;0;-43.12201667;-22.87761667;203.8
212;19900101_094526;0;-43.12153333;-22.87786667;317.6
206;19900101_101018;6.9;-43.1522;-22.8334;173.9
210;19900101_101034;0;-43.1216;-22.87788333;198
209;19900101_101103;0.1;-43.13008333;-22.82996667;360
201;19900101_101317;0;-43.122;-22.8777;253.9
207;19900101_101347;0;-43.13141667;-22.8645;300.1
208;19900101_101358;0.1;-43.16118333;-22.8593;313.2
211;19900101_101427;0;-43.12203333;-22.87761667;203.8
212;19900101_101428;0;-43.12155;-22.87785;317.6
209;19900101_101446;0;-43.13006667;-22.82995;360
206;19900101_101452;6.9;-43.15216667;-22.83371667;174
210;19900101_101533;0;-43.12161667;-22.87788333;198
207;19900101_101633;0.1;-43.1314;-22.86448333;300.1
201;19900101_101634;0.1;-43.122;-22.8777;253.4
208;19900101_101647;0.1;-43.16118333;-22.8593;313.2
211;19900101_101647;0;-43.12203333;-22.87761667;203.8
212;19900101_101656;0;-43.12155;-22.87786667;317.6
209;19900101_101750;0;-43.13006667;-22.82995;360
210;19900101_101805;0;-43.12161667;-22.87788333;198
204;19900101_101812;0.1;-43.16056667;-22.85605;212.9
206;19900101_101834;6.9;-43.15213333;-22.8341;175.3
207;19900101_101956;0.1;-43.1314;-22.86448333;300.1
201;19900101_102016;0;-43.122;-22.8777;253.3
208;19900101_102024;0.2;-43.16116667;-22.8593;341.9
211;19900101_102035;0;-43.12203333;-22.87761667;203.8
212;19900101_102056;0;-43.12155;-22.87786667;317.6
209;19900101_102117;0.1;-43.13006667;-22.82995;360
210;19900101_102151;0;-43.12161667;-22.87788333;198
207;19900101_102232;0.1;-43.1314;-22.8645;300.1
201;19900101_102233;0;-43.122;-22.8777;253.6
208;19900101_103650;0.4;-43.16115;-22.85928333;15.7
212;19900101_103650;0;-43.12153333;-22.87786667;317.6
211;19900101_103657;0;-43.12201667;-22.8776;203.8
202;19900101_111655;0.4;-43.16036667;-22.85633333;360
209;19900101_111802;0.1;-43.13006667;-22.82996667;360
210;19900101_111812;0;-43.1216;-22.87788333;198
206;19900101_111902;7;-43.15211667;-22.83471667;180.3
207;19900101_112333;0;-43.1314;-22.8645;300.1
201;19900101_112344;0;-43.122;-22.8777;252.4
211;19900101_121214;0;-43.12201667;-22.87758333;203.8
208;19900101_121257;0.5;-43.16111667;-22.85928333;49.1
212;19900101_121316;0;-43.12153333;-22.87788333;317.6
202;19900101_121437;0.2;-43.16036667;-22.85635;360
209;19900101_121512;0.2;-43.13006667;-22.82995;360
208;19900101_121517;0.5;-43.1611;-22.85926667;56.5
208;19900101_121532;0.5;-43.1611;-22.85926667;56.5
210;19900101_121651;0;-43.12158333;-22.87788333;198
206;19900101_135131;7;-43.15215;-22.83508333;183.8
208;19900101_135301;0.6;-43.1611;-22.85926667;64.8
207;19900101_135301;0.1;-43.13141667;-22.8645;300.1
201;19900101_135414;0.1;-43.122;-22.8777;252
208;19900101_164246;0.6;-43.1611;-22.85926667;68.7
211;19900101_164249;0;-43.12201667;-22.87758333;203.8
212;19900101_164334;0;-43.12155;-22.87786667;317.6
202;19900101_164446;0.5;-43.16038333;-22.85635;360
209;19900101_164556;0;-43.13005;-22.82996667;360
206;19900101_164613;7;-43.1522;-22.83533333;187.8
208;19900101_164625;0.6;-43.16108333;-22.85926667;75.5
210;19900101_164653;0;-43.12156667;-22.8779;198
208;19900101_191341;0.6;-43.16106667;-22.85926667;79
201;19900101_191528;0;-43.122;-22.8777;252.4
207;19900101_191532;0.1;-43.13141667;-22.8645;300.1
208;19900101_191550;0.6;-43.16106667;-22.85926667;85.5
211;19900101_191612;0;-43.12201667;-22.87758333;203.8
212;19900101_191618;0;-43.12153333;-22.87786667;317.6
202;19900101_191636;0.4;-43.16038333;-22.85635;360
209;19900101_191711;0.1;-43.13006667;-22.82993333;360
206;19900101_191731;7;-43.15225;-22.83566667;190.8
208;19900101_191735;0.6;-43.16105;-22.85926667;92.3
210;19900101_191805;0;-43.12156667;-22.8779;198
208;19900101_191850;0.6;-43.16105;-22.85926667;93.6
207;19900101_192023;0;-43.13141667;-22.8645;300.1
201;19900101_192042;0;-43.12201667;-22.8777;252.9
208;19900101_192208;0.6;-43.16103333;-22.85928333;99.4
211;19900101_192211;0;-43.12203333;-22.87758333;203.8
212;19900101_195436;0.1;-43.12155;-22.87786667;317.6
209;19900101_195647;0.1;-43.13006667;-22.82995;360
202;19900101_195656;0.2;-43.16038333;-22.85635;360
208;19900101_195702;0.7;-43.16103333;-22.85928333;104.5
210;19900101_195712;0;-43.12156667;-22.87791667;198
206;19900101_195736;7;-43.15233333;-22.83605;189.9
208;19900101_195808;0.6;-43.16101667;-22.85928333;106.6
207;19900101_195908;0;-43.13141667;-22.8645;300.1
201;19900101_195932;0;-43.12201667;-22.8777;253.3
208;19900101_195946;0.6;-43.16101667;-22.85928333;109
211;19900101_200002;0;-43.12201667;-22.8776;203.8
212;19900101_200013;0.1;-43.12153333;-22.87786667;317.6
202;19900101_200016;0.2;-43.1604;-22.85636667;360
208;19900101_200032;0.6;-43.161;-22.8593;109.8
209;19900101_200035;0.1;-43.13006667;-22.82995;360
210;19900101_200111;0;-43.12156667;-22.87793333;198
206;19900101_200123;7;-43.15236667;-22.8364;190.9
208;19900101_200127;0.6;-43.161;-22.8593;109.2
207;19900101_200159;0.1;-43.13141667;-22.8645;300.1
201;19900101_200203;0;-43.12201667;-22.8777;254.5
208;19900101_200217;0.6;-43.16095;-22.8593;108.2
211;19900101_200223;0;-43.12201667;-22.8776;203.8
212;19900101_200223;0;-43.12153333;-22.87786667;317.6
202;19900101_200328;0.2;-43.1604;-22.85636667;360
209;19900101_200336;0;-43.13006667;-22.82996667;360
208;19900101_200336;0.6;-43.16093333;-22.85928333;106.5
210;19900101_200338;0;-43.12156667;-22.87793333;198
206;19900101_200340;7.1;-43.15245;-22.83665;190.9
208;19900101_200404;0.6;-43.16093333;-22.85928333;105.9
207;19900101_200427;0.1;-43.13141667;-22.8645;300.1
201;19900101_200446;0;-43.122;-22.8777;255.4
211;19900101_200528;0;-43.12201667;-22.8776;203.8
208;19900101_200529;0.6;-43.1609;-22.85928333;100.6
212;19900101_200555;0;-43.12153333;-22.87786667;317.6
202;19900101_200636;0.3;-43.1604;-22.85636667;360
208;19900101_200716;0.7;-43.1609;-22.85928333;98.3
209;19900101_200736;0;-43.13006667;-22.82996667;360
210;19900101_200826;0;-43.12158333;-22.87793333;198
206;19900101_200827;7.3;-43.1525;-22.83701667;186.3
208;19900101_205339;0.8;-43.16088333;-22.85928333;93.4
207;19900101_205447;0;-43.13141667;-22.8645;300.1
201;19900101_205646;0;-43.122;-22.8777;256
208;19900101_205703;0.8;-43.16086667;-22.85928333;91
211;19900101_205712;0;-43.12203333;-22.8776;203.8
212;19900101_205745;0;-43.12153333;-22.8779;317.6
202;19900101_205824;0.3;-43.16041667;-22.85638333;360
208;19900101_205904;0.9;-43.16085;-22.85928333;85.6
209;19900101_205908;0;-43.13005;-22.82996667;360
210;19900101_205934;0;-43.1216;-22.87795;198
208;19900101_210152;1;-43.16083333;-22.85928333;84.3
207;19900101_210247;0;-43.13141667;-22.8645;300.1
208;19900101_210353;1;-43.16081667;-22.85928333;83.6
201;19900101_210410;0.1;-43.122;-22.8777;255.6
211;19900101_213705;0;-43.12203333;-22.87761667;203.8
212;19900101_213739;0;-43.12155;-22.8779;317.6
208;19900101_213806;1.1;-43.1608;-22.85928333;81.3
209;19900101_213824;0;-43.13005;-22.82996667;360
206;19900101_213833;7.2;-43.15258333;-22.83763333;188.3
210;19900101_213854;0;-43.12156667;-22.87793333;198
208;19900101_213917;1.1;-43.16078333;-22.85928333;81.4
207;19900101_214033;0;-43.13141667;-22.8645;300.1
201;19900101_214106;0;-43.122;-22.8777;254.8
211;19900101_214113;0;-43.12203333;-22.8776;203.8
208;19900101_214116;1.2;-43.16075;-22.85928333;81.3
212;19900101_214142;0;-43.12156667;-22.8779;317.6
209;19900101_214331;0.1;-43.13005;-22.82996667;360
208;19900101_214341;1.3;-43.16071667;-22.85928333;82.4
210;19900101_214354;0;-43.12156667;-22.87793333;198
206;19900101_214359;7.2;-43.15265;-22.83801667;189.6
208;19900101_214630;1.3;-43.1607;-22.85928333;82.8
207;19900101_221535;0;-43.13141667;-22.8645;300.1
201;19900101_222217;0;-43.122;-22.8777;254.1
208;19900101_223156;1.4;-43.16068333;-22.85928333;83.3
211;19900101_223232;0;-43.12203333;-22.8776;203.8
212;19900101_223640;0;-43.12155;-22.87788333;317.6
208;19900102_032423;1.5;-43.16065;-22.85928333;84
209;19900102_032517;0.1;-43.13005;-22.82996667;360
210;19900102_050348;0;-43.12156667;-22.87793333;198
206;19900102_050512;7.3;-43.15271667;-22.83836667;190.1
203;19900102_050612;0;-43.15305;-22.82221667;360
208;19900102_062614;1.5;-43.16061667;-22.85928333;86.2
203;19900102_062901;0;-43.15305;-22.82221667;360
207;19900102_062953;0.1;-43.13141667;-22.8645;300.1
201;19900102_063247;0;-43.12201667;-22.8777;253.9
208;19900102_063352;1.6;-43.1606;-22.85928333;87.7
211;19900102_063408;0;-43.12203333;-22.8776;203.8
212;19900102_063408;0;-43.12155;-22.87788333;317.6
208;19900102_063901;1.6;-43.16056667;-22.85926667;87.8
209;19900102_064025;0.1;-43.13003333;-22.82998333;360
210;19900102_064033;0;-43.12156667;-22.87793333;198
206;19900102_064037;7.3;-43.15278333;-22.83866667;189.6
208;19900102_064213;1.7;-43.16053333;-22.85926667;90.5
207;19900102_064256;0;-43.13141667;-22.8645;300.1
201;19900102_064350;0.1;-43.12201667;-22.87771667;254.5
211;19900102_064513;0;-43.12203333;-22.8776;203.8
208;19900102_064553;1.8;-43.16048333;-22.85926667;90.9
212;19900102_064637;0;-43.12155;-22.87788333;317.6
208;19900102_064653;1.8;-43.16046667;-22.85928333;92.8
209;19900102_075853;0;-43.13005;-22.82996667;360
210;19900102_080430;0;-43.12158333;-22.87791667;198
206;19900102_080510;7.3;-43.15285;-22.83901667;191.2
208;19900102_080739;1.9;-43.16041667;-22.85928333;92.8
207;19900102_080809;0;-43.13141667;-22.8645;300.1
208;19900102_080934;1.9;-43.16038333;-22.85928333;94.5
201;19900102_080939;0;-43.122;-22.87771667;256.5
212;19900102_081039;0;-43.12155;-22.87786667;317.6
211;19900102_081047;0;-43.12203333;-22.8776;203.8
208;19900102_081104;2;-43.16036667;-22.85928333;96.1
209;19900102_081129;0;-43.13003333;-22.82998333;360
206;19900102_081134;7.3;-43.15291667;-22.83928333;191.3
210;19900102_081218;0;-43.12158333;-22.87793333;198
208;19900102_081248;2.1;-43.16031667;-22.8593;100.1
207;19900102_081338;0;-43.13141667;-22.8645;300.1
208;19900102_081349;2.1;-43.16028333;-22.8593;101
201;19900102_081435;0;-43.122;-22.87771667;256.9
211;19900102_081444;0;-43.12201667;-22.87761667;203.8
212;19900102_081604;0;-43.12155;-22.87785;317.6
208;19900102_081749;2.1;-43.16025;-22.85931667;105.8
209;19900102_081825;0.1;-43.13003333;-22.82996667;360
206;19900102_081849;7.4;-43.15298333;-22.83963333;187.7
210;19900102_094616;0;-43.12158333;-22.87796667;198
208;19900102_094629;2.1;-43.16021667;-22.85933333;107.2
207;19900102_094735;0.1;-43.13141667;-22.8645;300.1
201;19900102_094808;0;-43.122;-22.87771667;254.8
211;19900102_094811;0;-43.12203333;-22.87763333;203.8
208;19900102_094814;2.2;-43.16016667;-22.85935;111.3
212;19900102_094817;0;-43.12155;-22.87786667;317.6
208;19900102_094942;2.2;-43.16011667;-22.85935;114.3
209;19900102_094948;0.2;-43.13003333;-22.82995;360
202;19900102_095015;0.1;-43.16045;-22.85641667;360
204;19900102_095019;0.1;-43.1606;-22.85611667;212.9
210;19900102_095033;0;-43.12158333;-22.87796667;198
206;19900102_095035;7.4;-43.15306667;-22.84;189.4
208;19900102_095153;2.2;-43.16008333;-22.85938333;114.5
207;19900102_095220;0.1;-43.13141667;-22.8645;300.1
201;19900102_095225;0;-43.122;-22.87771667;254.1
208;19900102_095235;2.3;-43.16006667;-22.8594;118.7
211;19900102_095251;0;-43.12201667;-22.87765;203.8
212;19900102_095257;0;-43.12155;-22.87785;317.6
208;19900102_095304;2.3;-43.16003333;-22.85941667;121.2
209;19900102_095312;0.1;-43.13005;-22.82996667;360
202;19900102_095350;0.1;-43.16045;-22.85641667;360
210;19900102_095353;0;-43.12156667;-22.87796667;198
206;19900102_095400;7.4;-43.1531;-22.84038333;186.5
208;19900102_095411;2.4;-43.16;-22.85945;124.3
207;19900102_095417;0.1;-43.13141667;-22.8645;300.1
201;19900102_095424;0.1;-43.122;-22.87771667;252.6
208;19900102_095454;2.4;-43.15998333;-22.85946667;124.3
211;19900102_095523;0;-43.12201667;-22.87765;203.8
212;19900102_095524;0;-43.12156667;-22.87786667;317.6
208;19900102_095624;2.5;-43.15995;-22.85948333;125.9
202;19900102_095700;0.2;-43.16045;-22.85643333;360
209;19900102_095702;0;-43.13005;-22.82995;360
210;19900102_095707;0;-43.12158333;-22.87796667;198
206;19900102_095710;7.5;-43.15313333;-22.84071667;187.3
208;19900102_095834;2.6;-43.15991667;-22.85951667;128.8
207;19900102_095913;0.1;-43.13141667;-22.8645;300.1
201;19900102_095923;0;-43.122;-22.87771667;254.3
211;19900102_095945;0;-43.12201667;-22.87765;203.8
208;19900102_095954;2.8;-43.15986667;-22.85956667;130.2
212;19900102_112235;0;-43.12155;-22.87786667;317.6
208;19900102_112245;2.8;-43.15983333;-22.85958333;131.4
209;19900102_112415;0.2;-43.13003333;-22.82998333;360
202;19900102_112435;0.4;-43.16045;-22.85643333;360
210;19900102_112613;0;-43.12158333;-22.87796667;198
206;19900102_112832;7.4;-43.15318333;-22.84111667;190.5
208;19900102_112921;3;-43.15978333;-22.85963333;132.4
207;19900102_112945;0.1;-43.13141667;-22.8645;300.1
208;19900102_113131;3;-43.15976667;-22.85965;134.2
201;19900102_113145;0.1;-43.122;-22.87771667;256.2
212;19900102_113320;0;-43.12155;-22.87788333;317.6
211;19900102_113330;0;-43.122;-22.87763333;203.8
202;19900102_113426;0.1;-43.16045;-22.85643333;360
209;19900102_113445;0;-43.13003333;-22.82996667;360
208;19900102_113508;3.2;-43.15971667;-22.8597;135.2
210;19900102_113524;0;-43.12158333;-22.87796667;198
206;19900102_113543;7.5;-43.15323333;-22.84148333;188.5
208;19900102_113615;3.3;-43.1597;-22.85973333;136.3
207;19900102_130013;0;-43.13141667;-22.8645;300.1
208;19900102_130048;3.5;-43.15963333;-22.85978333;137
201;19900102_130052;0.1;-43.122;-22.87771667;255.9
211;19900102_130100;0;-43.122;-22.87763333;203.8
212;19900102_130116;0;-43.12155;-22.87786667;317.6
209;19900102_130231;0.2;-43.13003333;-22.82995;360
208;19900102_130242;3.6;-43.1596;-22.85983333;138.8
206;19900102_130251;7.5;-43.15328333;-22.84178333;188.4
202;19900102_130331;0.2;-43.16045;-22.85643333;360
210;19900102_130342;0;-43.12156667;-22.87795;198
208;19900102_162132;3.7;-43.15956667;-22.85986667;139.1
201;19900102_185655;0;-43.122;-22.87771667;256.4
211;19900102_185956;0;-43.12198333;-22.87761667;203.8
208;19900102_190001;3.8;-43.15951667;-22.85993333;142
212;19900102_190101;0;-43.12153333;-22.87786667;317.6
208;19900102_192805;4;-43.1595;-22.85996667;143.6
202;19900102_193400;0.2;-43.16045;-22.85645;360
210;19900102_193413;0;-43.12158333;-22.87795;198
